Timestamp,Invoice_No_,Staff,Customer_Name,Status,Area,Table_No_,Item_Name,Total_Amount,Total_Quantity
2024-10-09 00:30:46+00:00,C2042,SK,,Complimentary,Garden Table,G 5,"Bottled Water,Cottage Cheese With Three Peppers,Crispy Corn,DAL KHICHDI,FRESH LIME SODA,FRESH LIME WATER,Juices Fresh,MALAI KULFI,Manchow Soup (VEG),Papad Fried,Subzi Kurkure Kebab,VANILLA ICE CREAM",7067.5,25.5
2024-10-09 16:13:17+00:00,C2043,Multiple,,Complimentary,Dine in,B 1,Red Bull,425.0,1.0
2024-10-09 19:39:50+00:00,C2044,Multiple,,Complimentary,Dine in,11,"Bottled Water,GREEN TEA,Green Salad,TEA,VEG SANDWICH",965.0,8.0
2024-10-09 23:35:54+00:00,C2045,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,12.0
2024-10-09 23:40:28+00:00,C2046,Multiple,,Complimentary,Parcel,nan,"DAL KHICHDI,Manchow Soup (VEG)",1040.0,2.0
2024-10-10 00:10:46+00:00,C2047,SK,,Complimentary,Dine in,B 1,EGG BHURJEE,500.0,2.0
2024-10-10 00:17:51+00:00,C2048,Multiple,,Complimentary,Dine in,B 1,Green Salad,375.0,1.0
2024-10-10 14:54:51+00:00,C2049,Multiple,,Complimentary,Dine in,B 1,Roti,170.0,2.0
2024-10-10 15:19:04+00:00,C2050,Multiple,,Complimentary,Dine in,B 1,PALAK PANEER,397.5,0.5
2024-10-10 16:16:43+00:00,C2051,Multiple,,Complimentary,Garden Table,G 5,TEA,100.0,1.0
2024-10-10 16:17:00+00:00,C2052,Multiple,,Complimentary,Dine in,11,"Bottled Water,Green Salad",375.0,2.0
2024-10-10 19:05:25+00:00,C2053,Multiple,,Complimentary,Dine in,B 1,VEG SANDWICH,175.0,1.0
2024-10-10 19:11:37+00:00,C2054,SK,,Complimentary,Dine in,11,"GREEN TEA,TEA",215.0,2.0
2024-10-10 23:44:10+00:00,C2055,Multiple,,Complimentary,Dine in,B 1,"Chicken Kebabs (Chicken Angare),Roti",652.5,3.5
2024-10-10 23:44:25+00:00,C2056,Multiple,,Complimentary,Dine in,B 2,"Chicken Kebabs (Chicken Sheekh),Missi Roti",532.5,1.5
2024-10-10 23:44:39+00:00,C2057,Multiple,,Complimentary,Garden Table,G 5,DAL KHICHDI,337.5,0.5
2024-10-10 23:49:39+00:00,C2058,SK,,Complimentary,Dine in,B 2,Dal Tadka,1050.0,2.0
2024-10-10 23:49:57+00:00,C2059,Multiple,,Complimentary,Dine in,B 1,Green Salad,375.0,1.0
2024-10-10 23:59:28+00:00,C2060,Multiple,,Complimentary,Dine in,B 2,FUTCHI RICE (CHICKEN),382.5,0.5
2024-10-11 14:50:38+00:00,C2061,Multiple,,Complimentary,Dine in,B 1,Virgin Colada,365.0,1.0
2024-10-11 14:50:54+00:00,C2062,Multiple,,Complimentary,Dine in,B 2,Roti,170.0,2.0
2024-10-11 17:42:15+00:00,C2063,Multiple,,Complimentary,Dine in,B 1,PALAK PANEER,397.5,0.5
2024-10-11 18:51:27+00:00,C2064,Multiple,,Complimentary,Dine in,11,"Bottled Water,Green Salad",375.0,2.0
2024-10-11 19:06:23+00:00,C2065,Multiple,,Complimentary,Dine in,B 1,GREEN TEA,115.0,1.0
2024-10-11 22:03:18+00:00,C2066,Multiple,,Complimentary,Parcel,nan,"Crispy Corn,FRIED RICE (VEG),Sweet Corn Soup (VEG),VEG PULAO,VEG SHEEK KABAB",3515.0,5.0
2024-10-12 00:19:27+00:00,C2067,Multiple,,Complimentary,Dine in,B 2,"Juices Fresh,THUMPS UP",595.0,3.0
2024-10-12 00:19:53+00:00,C2068,Multiple,,Complimentary,Dine in,B 1,"Chicken Kebabs (Chicken Sheekh),Roti",652.5,3.5
2024-10-12 00:20:32+00:00,C2069,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,13.0
2024-10-12 00:26:13+00:00,C2070,Multiple,,Complimentary,Dine in,B 2,FUTCHI RICE (CHICKEN),382.5,0.5
2024-10-12 00:34:44+00:00,C2071,SK,,Complimentary,Dine in,30,"Avadhi Chicken,Bukhara Kofta Curry,Chicken Hunan,Chicken In Malaysian Curry,Chicken Kebabs (Chicken Angare),Chilly Basil Mushroom,Crispy Corn,Dhabe Da Murg,Diwani Handi,Exotic Hot Pot Vegtable,HOT POT RICE (VEG),Maratha Chicken,Mirchi Ka Salan,Murg Makhanwala,Murg Tikka Nawabi,Mutton Kebabs (Gilafi Sheekh),PAN FRIED NOODLES (VEG),PANEER CHILLY DRY,Paneer Ke Shikanje,Paneer Khurchan,Pepper Blast Chicken,Rajasthani Laal Maas,Roast Lamb In Black Peper,Subzi Kurkure Kebab",19995.0,25.0
2024-10-12 00:39:36+00:00,C2072,TB,,Complimentary,PARTY,CRISOL,"BURNT GARLIC RICE (VEG),Dal Tadka,Dim Sum (VEG),Dum Pukht Biryani (VEG),Exotic Hot Pot Vegtable,Kung Pao Patato,LASOONI PALAK,MALAI KULFI,MOONGDAL HALWA,Manchow Soup (VEG),Mushroom Galauti,Naan,PANEER CHILLY DRY,Paneer Tikka Masala,Paratha Plain,Plain Kulcha,ROASTED PAPAD,Raita,Roti,Spice Guava,Virgin Mojito",36110.0,88.0
2024-10-12 14:36:08+00:00,C2073,Multiple,,Complimentary,Dine in,B 2,Roti,170.0,2.0
2024-10-12 14:36:29+00:00,C2074,Multiple,,Complimentary,Dine in,B 1,FORTUNE RICE (CHICKEN),765.0,1.0
2024-10-12 15:38:42+00:00,C2075,Multiple,,Complimentary,Dine in,B 2,PALAK PANEER,397.5,0.5
2024-10-12 15:38:57+00:00,C2076,Multiple,,Complimentary,Dine in,11,"Bottled Water,Green Salad",375.0,2.0
2024-10-12 19:18:24+00:00,C2077,Multiple,,Complimentary,Dine in,B 1,GREEN TEA,115.0,1.0
2024-10-12 23:37:48+00:00,C2078,SM,,Complimentary,Personal Dine In Room,PDR 4,"BUTTER SCOTCH ICE CREAM,Bottled Water,Crispy Corn,FRESH LIME SODA,MALAI KULFI",2370.0,10.0
2024-10-12 23:38:38+00:00,C2079,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,13.0
2024-10-12 23:39:02+00:00,C2080,Multiple,,Complimentary,Parcel,nan,"CHICKEN GASSI,Methi Chicken,Pompfret (400 GMS)",5460.0,4.0
2024-10-12 23:39:19+00:00,C2081,Multiple,,Complimentary,Parcel,nan,CHICKEN GASSI,795.0,1.0
2024-10-13 00:09:08+00:00,C2082,Multiple,,Complimentary,Dine in,B 2,"Chilli Chicken,Roti",652.5,3.5
2024-10-13 00:09:22+00:00,C2083,Multiple,,Complimentary,Dine in,B 1,Steam Chicken With Stir Fried Vegetables,397.5,0.5
2024-10-13 00:28:47+00:00,C2084,Multiple,,Complimentary,Dine in,B 2,THAI CURRY GREEN (CHICKEN),397.5,0.5
2024-10-13 00:29:09+00:00,C2085,SK,,Complimentary,Dine in,B 1,Amritsari Dal,1575.0,3.0
2024-10-13 00:31:43+00:00,C2086,Multiple,,Complimentary,Garden Table,G 5,"Butter Naan,Murg Makhanwala",547.5,1.5
2024-10-13 13:01:14+00:00,C2087,Multiple,,Complimentary,Dine in,4,"ASSORTED COOKIES,TEA",600.0,6.0
