Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Summary,,,Multiple,,,3678505.0,5.0,183925.25,,,,,,
Summary,,,MK,,,1742853.0,5.0,87142.65,,,,,,
Summary,,,SM,,,1305568.0,5.0,65278.4,,,,,,
Summary,,,TB,,,652480.0,5.0,32624.0,,,,,,
Summary,,,SK,,,1399518.0,5.0,69975.9,,,,,,
Summary,,,TD,,,1407529.0,5.0,70376.45,,,,,,
Summary,,,UU,,,56800.0,5.0,2840.0,,,,,,
Summary,,,UP,,,367206.0,5.0,18360.3,,,,,,
Summary,,,SS,,,13026.0,5.0,651.3,,,,,,
Detail,2023-07-19 00:22:29+00:00,1987,Multiple,,Cash,69440.0,5.0,3472.0,,,G 2,Garden Table,"Amritsari Dal,Basmati Rice,CLEAR SOUP (VEG),Chicken Kebabs (Murg Bemisal),Dim Sum (CHICKEN),Dim Sum (PRAWNS),Dim Sum (VEG),Exotic Hot Pot Vegtable,FRESH LIME SODA,FRIED RICE (VEG),GULAB JAMUN,Lemon Coriander (VEG),MALAI KULFI,MALAYSIAN NOODLES (VEG),Manchow Soup (CHICKEN),Manchow Soup (VEG),Murg Makhanwala,Mushroom Galauti,Naan,Neer Dosa(4pc),PANEER CHILLY DRY,Paratha Plain,Peach Iced Tea,Prawns  REG,Rawas (Chinese),Rawas (Gassi),Roti,SEVEN UP,Sour & Pepper Soup (CHICKEN),Sour & Pepper Soup (VEG),Subzi Kurkure Kebab,Vegetable Gassi",
Detail,2023-07-29 23:56:25+00:00,2573,Multiple,,Cash,4960.0,5.0,248.0,,,14,Dine in,"Basmati Rice,Bhatkal Biryani (VEG),MANGO KULFI,Pompfret (600 GMS),Stir Fried Chicken Chilly & Basil",
Detail,2023-11-24 21:38:56+00:00,9889,MK,,Cash,22945.0,5.0,1147.25,,,B 3,Dine in,"Assorted Indian Breads ( 7 Types ),BURNT GARLIC RICE (VEG),Basmati Rice,CHICKEN GHEE ROAST,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Murg Lalwari),Chicken Kebabs (Patra Chicken),Chinese Prawns REG,Chinese Rawas,Coastal Pompfret,Coastal Prawns REG,Edemunchi Chicken,FUTCHI NOODLES (CHICKEN),Juices Natural,Murg Tikka Nawabi,Mushroom Galauti,Mutton Kebabs (Gilafi Sheekh),Neer Dosa(4pc),PAN FRIED NOODLES (CHICKEN),Paneer Ke Shikanje,Peshawari Kofta,Phalguni Sabzi,Plain Kulcha,Roti,Soda,Subzi Kofta Masala,Subzi Sunheri,Zafrani Chicken",
Detail,2023-07-15 23:55:39+00:00,1787,SM,,Cash,1160.0,5.0,58.0,,,PDR 2,Personal Dine In Room,"CARAMEL CUSTARD(EGG LESS),CHOCOLATE PASTRY,GULAB JAMUN,MALAI KULFI",
Detail,2023-07-11 13:28:37+00:00,1496,Multiple,,Cash,100.0,5.0,5.0,,,B 1,BAR Table,TEA,
Detail,2023-08-29 15:51:18+00:00,4568,Multiple,,Cash,10.0,5.0,0.5,,,B 1,Dine in,Bottled Water,
Detail,2023-10-30 23:59:21+00:00,8317,TB,,Cash,1135.0,5.0,56.75,,,B 3,Dine in,"Bhindi Mirch Masala,Roti",
Detail,2023-07-14 15:46:19+00:00,1650,SM,,Cash,4025.0,5.0,201.25,,,3,Dine in,"Butter Kulcha,Cheese Aur Subz Ki Sheek,Chicken Kebabs (Patra Chicken),DIET COKE,FRESH LIME SODA,Paneer Khurchan,Stir Fried Chicken Chilly & Basil",
Detail,2023-07-12 15:44:00+00:00,1550,SK,,Cash,2405.0,5.0,120.25,,,21,Dine in,"CREAM CARAMEL,PAN FRIED NOODLES (CHICKEN),Stir Fried Chicken Chilly & Basil,THUMPS UP,Tom Yum Soup (CHICKEN)",
Detail,2023-08-20 00:07:09+00:00,3979,SK,,Cash,4700.0,5.0,235.0,,,2,Dine in,"Dum Pukht Biryani (CHICKEN),Exotic Stir Fried Vegetable,Lemon Fizz,Murg Makhanwala,Naan,Prawns Tom Yum Soup,ROASTED PAPAD,SHORBA (Dal)",
Detail,2023-07-16 00:20:33+00:00,479,Multiple,,Cash,5670.0,5.0,283.5,,,G 2,Garden Table,BLACK & WHITE,
Detail,2023-09-01 23:14:36+00:00,1280,SM,,Cash,6705.0,5.0,335.25,,,PDR 4,Personal Dine In Room,"KINGFISHER STRONG,TEACHER'S",
Detail,2023-07-12 23:53:15+00:00,1589,SK,,Cash,9105.0,5.0,455.25,,,9,Dine in,"Butter Naan,CREAM CARAMEL,DIET COKE,Dal Tadka,MALAI KULFI,Manchow Soup (CHICKEN),Murg Makhanwala,PANEER CHILLY DRY,Papad Masala,Pompfret (600 GMS),Raita,Roomali Roti,Stir Fried Chicken Chilly & Basil,Tandoori Chicken (FULL)",
Detail,2024-01-27 22:23:59+00:00,4027,Multiple,,Cash,6550.0,5.0,327.5,,,16,Dine in,"Caprioska (GREY GOOSE),GREY GOOSE,MONKEY SHOULDER",
Detail,2024-01-09 22:47:04+00:00,3691,Multiple,,Cash,21925.0,5.0,1096.25,,,G 4,Garden Table,"Caprioska (GREY GOOSE),MONKEY SHOULDER",
Detail,2023-07-16 21:09:20+00:00,1855,TD,,Cash,4435.0,5.0,221.75,,,G 3,Garden Table,"BUTTER GARLIC NAAN,BUTTER PUDINA PARATHA,Butter Kulcha,Butter Paratha,Butter Roti,Cheese & Garlic Naan,Diwani Handi,Dum Paneer Kalamiri,Missi Roti,Pepper Blast Paneer,Roomali Roti,Subzi Kofta Masala",
Detail,2023-07-06 22:03:17+00:00,1225,MK,,Cash,7655.0,5.0,382.75,,,G 5,Garden Table,"ALOO KULCHA,Amritsari Dal,Butter Kulcha,Butter Naan,Cheese & Garlic Naan,Dum Pukht Biryani (VEG),FRESH LIME SODA,Mushroom Galauti,Paneer Ke Shikanje,Paneer Lawabdar,ROASTED PAPAD,Subzi Kofta Masala,TOMATO SOUP,Virgin Mojito",
Detail,2023-09-15 23:22:50+00:00,5594,SK,,Cash,19815.0,5.0,990.75,,,G 1,Garden Table,"ALOO JEERA,Amritsari Dal,BUTTER PUDINA PARATHA,Basmati Rice,Bhara Hua Aloo,Butter Roti,Cheese & Garlic Naan,Cheese Garlic Bread,Dal Tadka,Hara Bhara Kabab,Jeera Rice,Paneer Ke Shikanje,ROASTED PAPAD,Roti,Subzi Lahori,THUMPS UP,Tonic Water,VEG CRISPY,Virgin Mojito,Virgin Toddy",
Detail,2023-08-04 22:36:45+00:00,790,Multiple,,Cash,1500.0,5.0,75.0,,,PDR 3,Personal Dine In Room,"Long Island Ice Tea,White Lady (BOMBAY SAPPHIRE)",
Detail,2023-07-07 22:08:17+00:00,1280,TD,,Cash,4045.0,5.0,202.25,,,12,Dine in,"ALOO KULCHA,Butter Roti,Dim Sum (VEG),Diwani Handi,Paneer Ke Shikanje,Papad Masala,Roti,TOMATO SOUP,Wonton & Noodle Soup (VEG)",
Detail,2023-09-14 15:48:22+00:00,5517,SM,,Cash,9255.0,5.0,462.75,,,20,Dine in,"Burnt Garlic Soup (VEG),Chilly Basil Mushroom,Dal Tadka,FRESH LIME WATER,Ginger Ale,Jeera Rice,Neer Dosa(4pc),Paneer Ke Shikanje,Phalguni Sabzi,Reshmi Paneer,Roti,Surmai (Gassi)",
Detail,2023-10-02 00:33:48+00:00,6496,TB,,Cash,14415.0,5.0,720.75,,,PDR 4,Personal Dine In Room,"BUTTER GARLIC NAAN,Chicken Pepper Chilly Garlic,Exotic Stir Fried Vegetable,FRIED RICE (VEG),MALAI KULFI,Pdr,Pompfret (800 GMS),Rawas (Tawa Fry),Spicy Crab Soup,THUMPS UP,VEG MANCHURIAN DRY",
Detail,2023-07-31 01:01:41+00:00,2684,Multiple,,Cash,4825.0,5.0,241.25,,,2,Dine in,"Brown Rice,Chicken Kebabs (Murg Lalwari),DIET COKE,GULAB JAMUN,Neer Dosa(4pc),Prawns  REG,Surmai (Masala Fry)",
Detail,2023-08-24 22:47:01+00:00,1129,SM,,Cash,2390.0,5.0,119.5,,,2,Dine in,"BLACK LABEL,OLD MONK (DARK)",
Detail,2023-11-15 14:58:02+00:00,2553,SK,,Cash,6870.0,5.0,343.5,,,G 1,Garden Table,"Heineken Silver,Sangria (INDIAN)",
Detail,2023-09-17 00:47:10+00:00,1537,TB,,Cash,3740.0,5.0,187.0,,,5,Dine in,"BLENDER'S PRIDE,Caprioska (REGULAR)",
Detail,2023-09-12 21:37:11+00:00,1455,TD,,Cash,1100.0,5.0,55.0,,,4,Dine in,BLENDER'S PRIDE,
Detail,2023-09-03 21:59:28+00:00,1313,Multiple,,Cash,550.0,5.0,27.5,,,5,Dine in,SMIRNOFF,
Detail,2023-09-25 15:39:04+00:00,1647,TD,,Cash,1015.0,5.0,50.75,,,4,Dine in,"BUDWEISER,SIGNATURE",
Detail,2023-07-04 21:48:24+00:00,294,SM,,Cash,4500.0,5.0,225.0,,,14,Dine in,"BLENDER'S PRIDE,Caprioska (GREY GOOSE),KINGFISHER ULTRA",
Detail,2023-08-11 22:06:04+00:00,925,Multiple,,Cash,550.0,5.0,27.5,,,22,Dine in,SMIRNOFF,
Detail,2023-07-20 21:57:22+00:00,558,SM,,Cash,3625.0,5.0,181.25,,,3,Dine in,"BLENDER'S PRIDE,RED LABEL",
Detail,2023-08-06 15:29:57+00:00,842,TB,,Cash,3210.0,5.0,160.5,,,15,Dine in,"BACARDI BREEZER,BOMBAY SAPPHIRE,BUDWEISER,SMIRNOFF",
Detail,2023-08-10 00:45:44+00:00,905,SK,,Cash,6260.0,5.0,313.0,,,15,Dine in,"CHIVAS REGAL,OLD MONK (DARK)",
Detail,2023-08-24 23:04:00+00:00,1130,SM,,Cash,550.0,5.0,27.5,,,2,Dine in,OLD MONK (DARK),
Detail,2023-07-26 22:57:53+00:00,648,Multiple,,Cash,7625.0,5.0,381.25,,,G 3,Garden Table,"ANTIQUITY BLUE,Caprioska (ABSOLUT),Frozen Jungle Daiquiri,HOEGAARDEN,HOUSEWINE-INDIAN ROSE,KINGFISHER ULTRA",
Detail,2023-07-23 23:46:28+00:00,619,Multiple,,Cash,3110.0,5.0,155.5,,,14,Dine in,"CORONA,HOUSEWINE-INDIAN ROSE,KINGFISHER ULTRA,SMIRNOFF",
Detail,2023-07-21 23:16:01+00:00,573,TB,,Cash,1650.0,5.0,82.5,,,4,Dine in,OLD MONK (DARK),
Detail,2023-09-12 22:03:46+00:00,1457,TB,,Cash,550.0,5.0,27.5,,,4,Dine in,BLENDER'S PRIDE,
Detail,2023-09-10 21:32:12+00:00,1421,MK,,Cash,1650.0,5.0,82.5,,,G 1,Garden Table,OLD MONK (DARK),
Detail,2023-08-08 23:21:01+00:00,887,UU,,Cash,550.0,5.0,27.5,,,B 1,Dine in,OLD MONK (DARK),
Detail,2023-08-03 00:23:57+00:00,767,TD,,Cash,27440.0,5.0,1372.0,,,G 1,Garden Table,"ANTIQUITY BLUE,Asolo Prosecco,BACARDI LEMON,BACARDI WHITE,BAILEY'S IRISH CREAM,BLENDER'S PRIDE,BOMBAY SAPPHIRE,BUDWEISER,HOEGAARDEN,HOUSEWINE-IMPORTED WHITE,Mojito,Sangria (INDIAN),TANQUERAY",
Detail,2023-09-24 22:07:56+00:00,1633,Multiple,,Cash,1400.0,5.0,70.0,,,G 1,Garden Table,"BOMBAY SAPPHIRE,OLD MONK (DARK)",
Detail,2023-07-08 23:02:17+00:00,352,SK,,Cash,5310.0,5.0,265.5,,,15,Dine in,"BACARDI BREEZER,BLENDER'S PRIDE,MONKEY SHOULDER,SMIRNOFF",
Detail,2023-07-23 23:01:24+00:00,615,MK,,Cash,1100.0,5.0,55.0,,,G 2,Garden Table,SMIRNOFF,
Detail,2023-07-05 22:03:15+00:00,306,TD,,Cash,1650.0,5.0,82.5,,,15,Dine in,BLENDER'S PRIDE,
Detail,2023-08-06 23:33:00+00:00,860,UP,,Cash,1100.0,5.0,55.0,,,14,Dine in,SMIRNOFF,
Detail,2023-09-17 23:04:57+00:00,1559,TB,,Cash,550.0,5.0,27.5,,,5,Dine in,OLD MONK (DARK),
Detail,2023-09-15 23:22:51+00:00,1503,SK,,Cash,22570.0,5.0,1128.5,,,G 1,Garden Table,"ANTIQUITY BLUE,BLACK DOG,BLENDER'S PRIDE,BOMBAY SAPPHIRE,Gimlet (BOMBAY SAPPHIRE),HOUSEWINE-IMPORTED ROSE,KETEL ONE,KINGFISHER ULTRA,TEACHER'S 50",
Detail,2023-09-03 21:38:50+00:00,1309,Multiple,,Cash,1100.0,5.0,55.0,,,6,Dine in,ANTIQUITY BLUE,
Detail,2023-09-12 22:19:44+00:00,1458,TB,,Cash,550.0,5.0,27.5,,,4,Dine in,BLENDER'S PRIDE,
Detail,2023-07-09 22:23:18+00:00,377,SM,,Cash,1650.0,5.0,82.5,,,3,Dine in,ANTIQUITY BLUE,
Detail,2023-09-17 00:40:08+00:00,1536,Multiple,,Cash,1180.0,5.0,59.0,,,15,Dine in,"BLACK & WHITE,SMIRNOFF",
Detail,2023-07-14 23:34:46+00:00,454,TB,,Cash,1450.0,5.0,72.5,,,30,Dine in,"BLENDER'S PRIDE,Toddy (REGULAR)",
Detail,2023-09-28 00:25:23+00:00,1681,SK,,Cash,16695.0,5.0,834.75,,,G 2,Garden Table,"ABSOLUT,ANTIQUITY BLUE,BACARDI LEMON,BACARDI WHITE,BLACK & WHITE,BLENDER'S PRIDE,BOMBAY SAPPHIRE,CORONA,HOEGAARDEN,KINGFISHER ULTRA,Old Fashioned (REGULAR),Whisky Sour (REGULAR)",
Detail,2023-07-22 21:05:18+00:00,582,MK,,Cash,1100.0,5.0,55.0,,,5,Dine in,ANTIQUITY BLUE,
Detail,2023-07-22 21:58:41+00:00,585,Multiple,,Cash,3525.0,5.0,176.25,,,G 4,Garden Table,"ABSOLUT,OLD MONK (DARK),Sangria (IMPORTED)",
Detail,2023-09-08 23:19:23+00:00,1377,UP,,Cash,2090.0,5.0,104.5,,,5,Dine in,"Caprioska (GREY GOOSE),OLD MONK (DARK)",
Detail,2023-07-19 22:37:49+00:00,547,Multiple,,Cash,3250.0,5.0,162.5,,,11,Dine in,"BLENDER'S PRIDE,SMIRNOFF,Sangria (INDIAN)",
Detail,2023-09-14 15:22:37+00:00,1483,SM,,Cash,1650.0,5.0,82.5,,,22,Dine in,BLENDER'S PRIDE,
Detail,2023-09-15 20:29:41+00:00,1496,MK,,Cash,2180.0,5.0,109.0,,,20,Dine in,"ANTIQUITY BLUE,KINGFISHER,TEACHER'S 50",
Detail,2024-01-16 22:05:56+00:00,3829,Multiple,,Cash,2625.0,5.0,131.25,,,30,Dine in,"BLACK DOG,Bloody Mary (ABSOLUT),Old Fashioned (REGULAR)",
Detail,2023-09-24 22:08:53+00:00,1634,Multiple,,Cash,2530.0,5.0,126.5,,,14,Dine in,"BLENDER'S PRIDE,Bloody Mary (GREY GOOSE),Manhattan (JACK DANIEL'S)",
Detail,2023-08-02 15:22:39+00:00,747,SK,,Cash,550.0,5.0,27.5,,,3,Dine in,ROYAL CHALLENGE,
Detail,2023-09-30 20:12:00+00:00,1709,SM,,Cash,2705.0,5.0,135.25,,,2,Dine in,"KINGFISHER STRONG,Long Island Ice Tea,SMIRNOFF",
Detail,2023-07-16 16:33:20+00:00,491,MK,,Cash,16025.0,5.0,801.25,,,G 3,Garden Table,"BOMBAY SAPPHIRE,Caprioska (GREY GOOSE),GREY GOOSE,KINGFISHER ULTRA,SMIRNOFF",
Detail,2023-09-22 15:00:29+00:00,1596,TD,,Cash,1650.0,5.0,82.5,,,22,Dine in,BLENDER'S PRIDE,
Detail,2023-07-08 15:11:13+00:00,341,UU,,Cash,1100.0,5.0,55.0,,,B 1,BAR Table,ROYAL CHALLENGE,
Detail,2023-09-12 21:52:51+00:00,1456,TB,,Cash,550.0,5.0,27.5,,,4,Dine in,BLENDER'S PRIDE,
Detail,2023-07-06 23:10:16+00:00,322,TD,,Cash,2275.0,5.0,113.75,,,11,Dine in,"Negroni (BOMBAY SAPPHIRE),OLD MONK (DARK),White Lady (BOMBAY SAPPHIRE)",
Detail,2023-08-20 23:44:16+00:00,1077,SK,,Cash,15930.0,5.0,796.5,,,30,Dine in,"BLACK LABEL,CHIVAS REGAL,CORONA,OLD MONK (DARK)",
Detail,2023-07-15 20:04:47+00:00,460,SK,,Cash,550.0,5.0,27.5,,,6,Dine in,DIPLOMATIC MAN TUANO,
Detail,2023-07-24 23:18:24+00:00,627,MK,,Cash,825.0,5.0,41.25,,,12,Dine in,ANTIQUITY BLUE,
Detail,2023-09-15 23:21:05+00:00,1502,Multiple,,Cash,880.0,5.0,44.0,,,16,Dine in,"BLENDER'S PRIDE,KINGFISHER",
Detail,2023-07-08 23:31:23+00:00,1354,SM,,Cash,13235.0,5.0,661.75,,,PDR 1,Persanol Dine In Room,"BUTTER GARLIC NAAN,Butter Roti,CAKE HALF KG,Chicken Kebabs (Murg Nawabi Sheekh),Dal Tadka,Dingri Lasooni,Dragon Roll (CHICKEN),FORTUNE RICE (VEG),FRESH LIME SODA,GULAB JAMUN,Juices Fresh,Karele Kaju Masala,MALAI KULFI,Murg Makhanwala,Mutton Kebabs (Boti E Gulshan),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Paneer Peri Peri Tikka,Roti,Soda,Stir Fried Chicken Chilly & Basil,Subzi Kurkure Kebab,Tonic Water",
Detail,2023-08-22 14:52:04+00:00,1088,TD,,Cash,1100.0,5.0,55.0,,,7,Dine in,BLENDER'S PRIDE,
Detail,2024-03-29 23:46:50+00:00,17780,SM,,Cash,45935.0,5.0,2296.75,,,G 2,Garden Table,"ANGOORI RABDI,APPLE PIE WITH HOT CUSTARD,Alaska,Amritsari Dal,BUTTER GARLIC NAAN,CHOCOLATE FONDUE CAKE,CHOCOLATE MOUSSE,Cheese & Garlic Naan,Chicken Kebabs (Patra Chicken),Chilly Basil Mushroom,Chinese Rawas,DIET COKE,Exotic Stir Fried Vegetable,FRESH LIME SODA,FRESH LIME WATER,Jeera Rice,Kung Pao Patato,Lemon Ice Tea,Manchow Soup (CHICKEN),Neer Dosa(4pc),Prawns  REG,Red Bull,Roast Lamb In Black Peper,SAHI GULAB KULFI,Sour & Pepper Soup (VEG),Spicy Crab Soup,Stir Fried Chicken Chilly & Basil,Sweet Corn Soup (CHICKEN),Sweet Corn Soup (VEG),THUMPS UP,Vegetable Gassi,Virgin Mojito",
Detail,2023-07-08 23:02:16+00:00,1349,SK,,Cash,5935.0,5.0,296.75,,,15,Dine in,"BURNT GARLIC RICE (CHICKEN),Crispy Corn,LASOONI PALAK,Mushroom Babycorn In Red Chilli Flakes,Naan,Roomali Roti,Shredded Chicken In Mixed Pepper,Sour & Pepper Soup (VEG),THUMPS UP,Tishing Hai Chicken",
Detail,2023-07-14 22:26:51+00:00,1682,SM,,Cash,8370.0,5.0,418.5,,,11,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,Butter Naan,Butter Roti,CHOCOLATE MOUSSE,GULAB JAMUN,Hara Bhara Kabab,Kung Pao Patato,MANGO KULFI,Manchow Soup (VEG),Naan,PANEER CHILLY DRY,Peshawari Kofta,ROASTED MASALA PAPAD,ROASTED PAPAD,Roti,Sweet Corn Soup (VEG)",
Detail,2023-07-12 22:44:16+00:00,1573,MK,,Cash,6930.0,5.0,346.5,,,16,Dine in,"Butter Naan,Chicken Kebabs (Chicken Angare),Dal Tadka,Methi Malai Mutter,Naan,Paneer Ke Shikanje,Papad Masala,Perrier Sparkling,Pompfret (700 GMS),ROASTED MASALA PAPAD,Roti",
Detail,2023-07-09 21:50:33+00:00,1432,Multiple,,Cash,8440.0,5.0,422.0,,,30,Dine in,"Butter Naan,Chilly Crispy Patato,Crispy Corn,Dum Pukht Biryani (VEG),Fruit Punch,Malai Kofta,Naan,Paneer Khurchan,ROASTED PAPAD,Roti,Subzi Kurkure Kebab,THUMPS UP,VEG MANCHURIAN DRY",
Detail,2023-07-16 21:50:34+00:00,1868,Multiple,,Cash,3276.0,5.0,163.8,,,1,Dine in,"Butter Paratha,Murg Makhanwala,Naan,Phalguni Sabzi,Subzi Kurkure Kebab,Tom Kha (VEG)",
Detail,2023-08-05 22:56:41+00:00,3000,MK,,Cash,10320.0,5.0,516.0,,,9,Dine in,"Amritsari Dal,Brocoli,babycorn Mushroom Sizzle Chilly,Burnt Garlic Soup (VEG),Butter Paratha,Butter Roti,Chatpata Paneer,FRESH LIME SODA,Ginger Bliss,Lemon Ice Tea,Missi Roti,Paneer Ke Shikanje,Peach Iced Tea,Roti,Spice Guava,Stuffed Kulcha,Subzi Lahori,TANDOORI ALOO",
Detail,2023-08-04 22:36:44+00:00,2909,Multiple,,Cash,9165.0,5.0,458.25,,,PDR 3,Personal Dine In Room,"BROWNIE SUNDAE,Cheese Garlic Bread,Chicken Kebabs (Chicken Malai),DAL KHICHDI,FUTCHI RICE (VEG),HONEY NOODLES WITH VANILLA ICE CREAM,Juices Fresh,Kung Pao Chicken,Kung Pao Patato,Papad Masala,Sweet Corn Soup (CHICKEN),THUMPS UP,TOMATO SOUP,VEG CRISPY",
Detail,2023-12-03 00:09:01+00:00,10459,Multiple,,Cash,17765.0,5.0,888.25,,,10,Dine in,"ALOO KULCHA,Basmati Rice,Butter Naan,Cheese Cherry Pineapple,Chicken Hoisin,Chicken Kebabs (Murg Shikara),Chilly Crispy Patato,Crispy Corn,Dal Tadka,Dim Sum (VEG),Dingri Lasooni,Exotic Hot Pot Vegtable,FRIED RICE (VEG),French Fries,Multani Murgh,Paneer Ke Shikanje,Paneer Lawabdar,Papad Fried,Papad Masala,Prawns  REG,ROASTED PAPAD,Rawas (Koliwada),Rawas (Tawa Fry),Roomali Roti,Roti,THUMPS UP,TIRAMISU,Virgin Mojito",
Detail,2023-09-09 21:26:53+00:00,5220,UP,,Cash,2365.0,5.0,118.25,,,22,Dine in,"Amritsari Dal,Butter Roomali Roti,Chicken Kebabs (Makhmali),Stuffed Kulcha,THUMPS UP,Wonton & Noodle Soup (VEG)",
Detail,2023-07-13 00:07:14+00:00,1590,TD,,Cash,935.0,5.0,46.75,,,12,Dine in,"ALOO KULCHA,Amritsari Dal,Butter Naan",
Detail,2023-09-19 15:02:09+00:00,5829,TD,,Cash,4420.0,5.0,221.0,,,14,Dine in,"Dum Pukht Biryani (MUTTON),FRESH LIME SODA,Murg Makhanwala,Mutton Kebabs (Gilafi Sheekh),Naan,PALAK KHICHDI,PANEER TIKKA",
Detail,2024-01-01 00:12:12+00:00,12383,TD,,Cash,3100.0,5.0,155.0,,,G 5,Garden Table,"ALOO PARATHA,CLEAR SOUP (VEG),Hyderabadi Biryani (VEG),Sour & Pepper Soup (VEG),TANDOORI ALOO",
Detail,2023-07-19 21:55:08+00:00,2017,Multiple,,Cash,2810.0,5.0,140.5,,,3,Dine in,"BUTTER GARLIC NAAN,Dragon Roll (VEG),Paneer Lawabdar,Stuffed Kulcha,Teriyaki Veg",
Detail,2023-10-09 22:39:42+00:00,6998,TB,,Cash,3260.0,5.0,163.0,,,4,Dine in,"Amritsari Dal,Fruit Punch,ONION KULCHA,PANEER KADAI,Pindi Chana,Stuffed Kulcha",
Detail,2023-09-06 14:51:22+00:00,5034,Multiple,,Cash,4620.0,5.0,231.0,,,20,Dine in,"FRESH LIME SODA,Lemon Coriander (VEG),Manchow Soup (VEG),Mushroom Galauti,ONION KULCHA,Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Raita,Subzi Kurkure Kebab",
Detail,2023-08-06 15:29:57+00:00,3055,TB,,Cash,6220.0,5.0,311.0,,,15,Dine in,"ALOO PARATHA,BUTTER PUDINA PARATHA,Butter Roomali Roti,CHOCOLATE FONDUE CAKE,Chicken Kebabs (Murg Shikara),KULFI RABDI FALOODA,Mushroom Galauti,Neer Dosa(4pc),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Roast Lamb In Black Peper,TOMATO SOUP,Vegetable Gassi",
Detail,2024-01-28 00:30:17+00:00,14122,MK,,Cash,5990.0,5.0,299.5,,,15,Dine in,"ALOO KULCHA,CLEAR SOUP (CHICKEN),Chicken Kebabs (Chicken Angare),Dum Pukht Biryani (VEG),Exotic Stir Fried Vegetable,FORTUNE RICE (CHICKEN),FRESH LIME SODA,Manchow Soup (VEG),Neer Dosa(4pc),Paneer Ke Shikanje,Papad Masala,Peach Iced Tea",
Detail,2023-09-06 22:31:45+00:00,5058,MK,,Cash,1580.0,5.0,79.0,,,7,Dine in,"Jeera Rice,Naan,Pindi Chana",
Detail,2023-09-22 20:51:01+00:00,5929,Multiple,,Cash,8500.0,5.0,425.0,,,15,Dine in,"ALOO KULCHA,Assorted Stir Fried Vegetable Salt & Pepper,Crispy Corn,Dim Sum (Crabmeat),Lobster (500 GMS),Malabari Paratha (1pc),Mutton Kebabs (Gilafi Sheekh),Paneer Ke Shikanje,Papad Masala,Rawas (Koliwada)",
Detail,2023-09-07 22:42:23+00:00,5115,SM,,Cash,2075.0,5.0,103.75,,,4,Dine in,"Amritsari Dal,Butter Roti,Paneer Lawabdar,ROASTED PAPAD,Stuffed Kulcha",
Detail,2023-08-20 21:20:24+00:00,4042,Multiple,,Cash,3885.0,5.0,194.25,,,1,Dine in,"ALOO PARATHA,BUTTER SCOTCH ICE CREAM,French Fries,Hara Bhara Kabab,Jal Jeera,MILLENNIUM KULFI,Manchow Soup (VEG),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Papad Fried,ROASTED PAPAD,Raita",
Detail,2023-08-30 21:31:12+00:00,4642,Multiple,,Cash,10120.0,5.0,506.0,,,30,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,Burnt Garlic Soup (VEG),Butter Paratha,Butter Roti,Chilly Crispy Patato,DIET COKE,Dal Tadka,Diwani Handi,Dum Pukht Biryani (VEG),FRESH LIME SODA,Hara Bhara Kabab,Paneer Ke Shikanje,ROASTED PAPAD,Stuffed Kulcha",
Detail,2023-08-17 23:33:32+00:00,3848,SK,,Cash,3430.0,5.0,171.5,,,2,Dine in,"Cheeese Naan,Chicken Kebabs (Murg Lalwari),DIET COKE,Manchow Soup (CHICKEN),Murg Makhanwala,SZECHWAN FRIED RICE (Egg)",
Detail,2023-08-17 23:23:20+00:00,3845,SK,,Cash,6685.0,5.0,334.25,,,15,Dine in,"Chicken Kebabs (Chicken Angare),DAL KHICHDI,Dal Tadka,Kung Pao Patato,MILLENNIUM KULFI,PANEER MALAI TIKKA,Papad Masala,Roti,SAHI GULAB KULFI,Stuffed Kulcha,THUMPS UP,Veg Sweet Corn Soup",
Detail,2023-07-23 21:36:38+00:00,2261,Multiple,,Cash,6710.0,5.0,335.5,,,20,Dine in,"Amritsari Dal,BROWNIE SUNDAE,Chilly Crispy Patato,Dim Sum (VEG),Exotic Stir Fried Vegetable,FRESH LIME SODA,Jeera Rice,Manchow Soup (VEG),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Paneer Ke Shikanje,Paratha Stuffed,Veg Sweet Corn Soup",
Detail,2024-03-02 23:53:05+00:00,16276,TD,,Cash,5190.0,5.0,259.5,,,15,Dine in,"ALOO PARATHA,Dim Sum (VEG),Dingri Lasooni,Dum Pukht Biryani (VEG),FORTUNE RICE (VEG),Manchow Soup (VEG),Sour & Pepper Soup (VEG),TANDOORI ALOO,TOMATO SOUP",
Detail,2023-07-01 16:19:55+00:00,945,MK,,Cash,4625.0,5.0,231.25,,,20,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,Dum Pukht Biryani (VEG),FUTCHI NOODLES (VEG),Roomali Roti,Roti,Stuffed Kulcha,Subzi Lahori,TOMATO SOUP",
