Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Detail,2024-08-12 00:28:03+00:00,2169,TD,vijay (vijay shetty),Cash,3270.0,5.0,163.5,,,15,Dine in,"JAMESON,KINGFISHER",removed sc
Detail,2024-09-14 21:58:46+00:00,2642,TD,vijay (vijay shetty),Cash,2250.0,5.0,112.5,,,4,Dine in,"CORONA,Heineken Silver",removed sc
Detail,2024-04-28 21:03:22+00:00,473,SM,vijay (vijay shetty),Cash,595.0,5.0,29.75,,,22,Dine in,CORONA,no sc
Detail,2024-04-06 23:37:57+00:00,80,MK,vijay (vijay shetty),Cash,1190.0,5.0,59.5,,,1,Dine in,CORONA,no sc
Detail,2024-04-19 22:45:02+00:00,288,SK,vijay (vijay shetty),Cash,1145.0,5.0,57.25,,,20,Dine in,"HOUSEWINE-INDIAN WHITE,KINGFISHER STRONG",no sc
Detail,2024-09-25 21:49:27+00:00,2809,SK,vijay (vijay shetty),Cash,800.0,5.0,40.0,,,G 4,Garden Table,HOUSEWINE-INDIAN WHITE,removed sc
Detail,2024-05-11 23:29:24+00:00,2377,Multiple,vijay (vijay shetty),Cash,10045.0,5.0,502.25,,,PDR 2,Personal Dine In Room,"BROWNIE SUNDAE,Chicken Kebabs (Patra Chicken),Dal Tadka,Dim Sum (CHICKEN),FRESH LIME SODA,HONG KONG NOODLES (CHICKEN),Jeera Rice,Kung Pao Chicken,Papad Masala,Prawns (100 GMS),Sour & Pepper Soup (CHICKEN),Steam Chicken With Stir Fried Vegetables,Sweet Corn Soup (CHICKEN)",no sc
Detail,2024-04-24 22:35:31+00:00,379,Multiple,vijay (vijay shetty),Cash,660.0,5.0,33.0,,,10,Dine in,KINGFISHER,no sc
Detail,2024-04-08 23:56:38+00:00,127,SK,vijay (vijay shetty),Cash,1980.0,5.0,99.0,,,5,Dine in,KINGFISHER,no sc
Detail,2024-08-30 22:10:01+00:00,2429,SK,vijay (vijay shetty),Cash,750.0,5.0,37.5,,,2,Dine in,BLACK DOG,
Detail,2024-08-19 21:06:55+00:00,2265,SK,vijay (vijay shetty),Cash,550.0,5.0,27.5,,,6,Dine in,SIGNATURE,removed sc
Detail,2024-04-29 23:10:25+00:00,494,TD,vijay (vijay shetty),Cash,550.0,5.0,27.5,,,G 3,Garden Table,SMIRNOFF,no sc
Detail,2024-09-28 23:00:44+00:00,2861,MK,vijay (vijay shetty),Cash,3135.0,5.0,156.75,,,2,Dine in,"JAMESON,KINGFISHER ULTRA",removed sc
Detail,2024-08-18 23:23:37+00:00,2259,TB,vijay (vijay shetty),Cash,465.0,5.0,23.25,,,PDR 4,Personal Dine In Room,KINGFISHER ULTRA,removed sc
Detail,2024-09-20 23:40:32+00:00,2748,SK,vijay (vijay shetty),Cash,930.0,5.0,46.5,,,20,Dine in,"BUDWEISER,KINGFISHER ULTRA",removed sc
Detail,2024-05-10 23:43:28+00:00,667,TD,vijay (vijay shetty),Cash,1860.0,5.0,93.0,,,G 2,Garden Table,"BIRA 91,KINGFISHER ULTRA",no sc
Detail,2024-06-15 22:31:38+00:00,4404,Multiple,vijay (vijay shetty),Cash,61200.0,5.0,3060.0,,,CRS 2,PARTY,1700,removed sc
Detail,2024-08-04 00:15:40+00:00,7187,Multiple,vijay (vijay shetty),Cash,58320.0,5.0,2916.0,,,CRISOL,PARTY,BUFFET,
Detail,2024-08-04 21:19:20+00:00,7249,Multiple,vijay (vijay shetty),Cash,48600.0,5.0,2430.0,,,CRS 2,PARTY,BUFFET,
Detail,2024-06-19 21:24:58+00:00,4648,TD,vijay (vijay shetty),Cash,2165.0,5.0,108.25,,,16,Dine in,"Paneer Ke Shikanje,ROASTED PAPAD,VEG MANCHURIAN DRY,Virgin Mojito",removed sc
Detail,2024-04-24 22:35:30+00:00,1302,Multiple,vijay (vijay shetty),Cash,2140.0,5.0,107.0,,,10,Dine in,"Chicken Kebabs (Murg Chatpata),Manchow Soup (CHICKEN),Stir Fried Chicken Chilly & Basil,THUMPS UP",no sc
Detail,2024-08-19 22:00:52+00:00,8232,Multiple,vijay (vijay shetty),Cash,48600.0,5.0,2430.0,,,CRS 2,PARTY,BUFFET,
Detail,2024-04-01 14:26:21+00:00,5,Multiple,sachindra (sachindra),Cash,185.0,5.0,9.25,,,1,Dine in,THUMPS UP,TRAIL
Detail,2024-07-30 21:43:25+00:00,1934,TD,sachindra (sachindra),Cash,1120.0,5.0,56.0,,,12,Dine in,"Bloody Mary (REGULAR),Margarita (REGULAR)",SC
Detail,2024-05-26 16:38:02+00:00,918,TB,sachindra (sachindra),Cash,22965.0,5.0,1148.25,,,CRS 1,PARTY,"BIRA 91,BOMBAY SAPPHIRE,HOEGAARDEN,KINGFISHER ULTRA,Negroni (BOMBAY SAPPHIRE),Pina Colada,Sula Chenin Blanc,Sula Zinfandel Rose,Whisky Sour (TEACHER'S 50),White Lady (BOMBAY SAPPHIRE)",YES
