Reason,Total_Sales,Invoice_No_,Percentage,Total_Discount,Items_year,Items_month,Items_day,Items_hour,Staff_year,Staff_month,Staff_day,Staff_hour,Settled_By_year,Settled_By_month,Settled_By_day,Settled_By_hour,Area_year,Area_month,Area_day,Area_hour,Record_Type_year,Record_Type_month,Record_Type_day,Record_Type_hour,Timestamp_year,Timestamp_month,Timestamp_day,Timestamp_hour
,-0.09699562660919106,,0.4004833407838871,-0.09698325674705895,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,12.0,19.0
,-0.18694617528049018,,0.4004833407838871,-0.186940027216958,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,13.0,19.0
,-0.0012790171256291854,,-0.5702663492263953,-0.0013009165206391623,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,13.0,12.0
,-0.18521635703681133,,0.3477419959529644,-0.18521082829720342,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,13.0,12.0
,-0.18521635703681133,,0.3477419959529644,-0.18521082829720342,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,3.0,19.0
,-0.18521635703681133,,0.3477419959529644,-0.18521082829720342,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,13.0,12.0
,-0.13937617357932236,,0.3477419959529644,-0.1393678436023766,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,6.0,13.0
,-0.13937617357932236,,0.3477419959529644,-0.1393678436023766,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,6.0,19.0
,-0.1411059918230012,,0.3826789377517971,-0.1410970425221312,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,4.0,13.0
,-0.18521635703681133,,0.3477419959529644,-0.18521082829720342,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,15.0,20.0
,-0.17973859926516172,,1.4870802463136685,-0.17971581839665002,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,12.0,13.0
,-0.0701834438321692,,-0.5702663492256207,-0.07019988681219362,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,14.0,19.0
,-0.14283581006668003,,0.4185174780481445,-0.14282624144188577,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,6.0,20.0
,-0.18694617528049018,,0.4004833407838871,-0.186940027216958,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,3.0,20.0
,-0.1834865387931325,,0.29695403426432937,-0.18348162937744886,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,15.0,19.0
,-0.13937617357932236,,-1.480624624862684,-0.13940627024503782,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,3.0,13.0
,7.337763184722416,,-0.050370090858179235,7.3377651387017,,,,,,,,,,,,,,,,,,,,,,,,
