Date,Timestamp,Invoice_No_,Name,Phone,Area,Table_No_,Payment_Type,Ordered_Items,Staff,Bill_Settled_By,Duration_In_Minutes
2024-10-05,2024-10-05 21:08:39+00:00,10935,,,Dine in,4,Cash,"Appam (2pc),Appam (2pc),Bottled Water,PEPSI,PEPSI,Prawns (REGULAR),Stir Fried Chicken Chilly & Basil",SM,vijay (vijay shetty),35
2024-10-05,2024-10-05 21:08:38+00:00,2955,,,Dine in,4,Cash,"SMIRNOFF,SMIRNOFF",SM,vijay (vijay shetty),35
2024-10-13,2024-10-13 22:14:40+00:00,11501,,,Dine in,20,Cash,"AMRUT - AMALGAM,Bottled Water,Bottled Water,Butter Roti,Chilly Crispy Patato,DIET COKE,Missi Roti,Mushroom Galauti,PANEER CHILLY DRY,Roti,SMIRNOFF,Soda,Soda,Subzi Kofta Masala,Subzi Lahori,Whisky Sour (JACK DANIEL'S)",TD,vijay (vijay shetty),32
2024-10-07,2024-10-07 20:14:10+00:00,11076,,,Dine in,5,Cash,"BUTTER GARLIC NAAN,Bottled Water,Bottled Water,Butter Roomali Roti,Butter Roomali Roti,Dal Tadka,ROASTED MASALA PAPAD,SINGLE TALL CAKE SUNDAE,Subzi Lahori",SM,vijay (vijay shetty),30
2024-10-17,2024-10-17 21:03:43+00:00,11694,,,PARTY,CRS 1,Cash,"DIET COKE,DIET COKE,DIET COKE,GREEN TEA,PANEER TIKKA",TB,vijay (vijay shetty),29
2024-10-17,2024-10-17 21:03:42+00:00,3136,,,PARTY,CRS 1,Cash,KINGFISHER,TB,vijay (vijay shetty),29
2024-10-16,2024-10-16 16:01:58+00:00,11635,,,Dine in,12,Other [Paytm],"Bottled Water,Chinese Prawns (REGULAR),FRESH LIME SODA,Maratha Chicken,Roti",MK,sachindra (sachindra),28
2024-10-16,2024-10-16 17:15:31+00:00,11637,,,PARTY,CRS 1,Other [Paytm],"DIET COKE,GREEN TEA",SS,sachindra (sachindra),28
2024-10-17,2024-10-17 21:05:32+00:00,11697,,,PARTY,CRS 2,Cash,BUFFET,TB,vijay (vijay shetty),27
2024-10-13,2024-10-13 23:38:39+00:00,11517,,,PARTY,CRS 1,CARD,BUFFET,TB,vijay (vijay shetty),25
