Avg_Quantity_Current_Month,Quantity_Change,PercentageChange,Avg_Quantity_Previous_Three_Months,Total_Amount_Past_30days,Unit_year,Unit_month,Unit_day,Unit_hour,Raw_Material_year,Raw_Material_month,Raw_Material_day,Raw_Material_hour,DayOfWeek_year,DayOfWeek_month,DayOfWeek_day,DayOfWeek_hour
0.08812649171872898,0.20901071902193968,0.6716803547056431,-0.07881397257756771,7.215572063723056,,,,,,,,,,,,
0.995195602872083,-0.10018394816086125,-0.2635596320579227,0.6842340845199896,6.5850541394512225,,,,,,,,,,,,
-0.2279733500468338,0.08242638403429947,0.0850287509146722,-0.1947943410445365,6.260960779446887,,,,,,,,,,,,
0.20357165132006494,0.01225047626924818,-0.2701301300203816,0.11901330148476195,6.0847691365655105,,,,,,,,,,,,
-0.11684756716527571,0.11553152142565526,0.3639229233568997,-0.14672982951144486,5.961683143792041,,,,,,,,,,,,
-0.1180255789979424,0.10460732490826664,0.18276490810624793,-0.1404744216359562,5.5040811867874515,,,,,,,,,,,,
-0.11390253758360898,0.01225047626924818,-0.5261448899147613,-0.07881397257756771,5.465646592914963,,,,,,,,,,,,
-0.13039470324094268,0.12468490069935761,0.6960850614233475,-0.161027904655419,4.666103806953885,,,,,,,,,,,,
-0.15572195764327662,0.06628783739841301,-0.2809245195301355,-0.13944674748498304,4.655383414034905,,,,,,,,,,,,
10.148347542692292,1.7188444185119807,0.11612128591559363,5.22398464644384,4.381417420164949,,,,,,,,,,,,
-0.20316638420392769,0.04943049616602301,-0.641949916503099,-0.1582251569709468,4.078665980152764,,,,,,,,,,,,
-0.23347073859927836,0.07248320364252109,-0.6972124975802084,-0.19185812918461323,3.53182667838741,,,,,,,,,,,,
-0.22934769718494494,0.07649871880073929,-0.40388669568472296,-0.19185812918461323,3.53182667838741,,,,,,,,,,,,
-0.18795236138503735,0.07445080607004802,-0.2323497667362431,-0.16475322345269666,3.3212900730063395,,,,,,,,,,,,
-0.18028350435437718,0.09296233094943387,0.1976658588425386,-0.171818483240637,3.1356684548721563,,,,,,,,,,,,
-0.15898112371365447,0.09025855074290029,0.05088562757403767,-0.15681444063642913,3.023501380812463,,,,,,,,,,,,
-0.14276382748394298,0.09336388246525569,0.06989313953686514,-0.1486958148437413,3.011589833124708,,,,,,,,,,,,
0.22171303354313204,0.12165782004162388,0.007121417931231235,0.060317297092642184,2.8781804990218514,,,,,,,,,,,,
0.09912126882361813,0.010911971216508802,-0.313894339663188,0.05478366704894064,2.8632910644121576,,,,,,,,,,,,
-0.1015334133406087,0.0022116883737026962,-0.5382299129528554,-0.06468345300168703,2.74354030499126,,,,,,,,,,,,
-0.12833318253377596,0.10074625264074914,0.15261101567139201,-0.14442701452431442,2.713801140930832,,,,,,,,,,,,
-0.1702507702461658,0.09160470439594108,0.11178006404754044,-0.1646981694803231,2.6383613389083833,,,,,,,,,,,,
13.611702330732372,5.5416148491357005,0.6872852873664829,4.936235884171361,2.6145370523781044,,,,,,,,,,,,
-0.18688037061731064,0.07095730788239818,-0.2886683207001763,-0.1618500439761975,2.6065972117410365,,,,,,,,,,,,
-0.1180255789979424,0.09256077943361204,0.01979309257311621,-0.13276686550365763,2.596174607514251,,,,,,,,,,,,
0.17388575313686425,0.13535469811976597,0.07329571883885276,0.021751283624803944,2.5021726436783838,,,,,,,,,,,,
-0.10565645475494212,0.10326881985552724,0.132664861142499,-0.13191047037784667,2.4648497942567515,,,,,,,,,,,,
-0.10428210761683097,0.10007700011437946,0.09030861534879092,-0.12901190225971731,2.416012448736956,,,,,,,,,,,,
0.25098662758489937,0.1322526023436919,0.031291464007419244,0.07177981646888104,2.3872262084915477,,,,,,,,,,,,
-0.20928222896852228,0.05898342411060659,-0.5861006838221985,-0.1681482184157329,2.3663810000379764,,,,,,,,,,,,
-0.14276382748394298,0.09336388246525569,0.06989313953686514,-0.1486958148437413,2.2843326713583614,,,,,,,,,,,,
-0.2068084041199222,0.07259028404674023,-0.3323152000222245,-0.17531257535394568,2.2115308800971607,,,,,,,,,,,,
-0.1180255789979424,0.09256077943361206,0.01979309257311621,-0.13276686550365763,2.1896930426696097,,,,,,,,,,,,
-0.1372664389314984,0.11174601852287674,0.40921242716956263,-0.15703139406830124,2.1539583996063447,,,,,,,,,,,,
5.2556717310166245,-2.596495871519839,-0.5016228528762987,4.936235884171361,2.1321205621787938,,,,,,,,,,,,
0.1355414679835634,-0.014159258040571492,-0.3509707210227774,0.09351907735485135,1.7029077938300203,,,,,,,,,,,,
9.653582572972281,-1.5899400718598111,-0.2838577775490903,7.032691152156569,1.7013185948426792,,,,,,,,,,,,
-0.22522465577061151,0.08854526427539386,1.0627423137927043,-0.19699649993947896,1.6123165031487474,,,,,,,,,,,,
-0.16956359667711024,0.09858405217093935,0.2956366766756307,-0.16873546078771756,1.5226463721553274,,,,,,,,,,,,
0.05514216040406155,0.15751764228714166,0.3153481705630073,-0.06642143134524453,1.439265538341042,,,,,,,,,,,,
-0.16475338169372125,0.0698061935370423,-0.25722379473698026,-0.1473255826424438,1.439265538341042,,,,,,,,,,,,
-0.1757481587986104,0.09122227438087264,0.12409974772715084,-0.16787906566190663,1.3892370380524708,,,,,,,,,,,,
-0.15925599314127667,0.04035908237677554,-0.5016228528762987,-0.12505930937135906,1.3836822863140812,,,,,,,,,,,,
-0.20543405698181105,0.06204286423115379,-0.5133558849521181,-0.1677077866367444,1.359855220422675,,,,,,,,,,,,
1.8198038857387686,-0.21152323209327484,-0.25957040115214414,1.269307663653562,1.3489363017088996,,,,,,,,,,,,
