Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
BAR MALT WHISKY,GLENFIDDICH -15 YEARS,,1500,P,5
BAR MALT WHISKY,GLENLIVET -15 YEARS,,1500,P,5
BAR MALT WHISKY,HIBIKI 12 YEARS,,1900,P,5
BAR MALT WHISKY,LAPHROAIG 10 YEARS,,1600,P,5
BAR MALT WHISKY,YAMAZAKI,,3100,P,5
BAR MALT WHISKY,Jura 12 Years,,1100,P,5
BAR MALT WHISKY,Dalmore 12 Years,dalmore,1800,P,5
BAR MALT WHISKY,The Glenlivet 18 Years,the glenlivet 18 years,2000,P,5
BAR MALT WHISKY,Dalmore 15 Years,,2500,P,5
BAR VODKA & GIN,MONKEY 47,,750,P,5
BAR VODKA & GIN,HENDRICKS,,750,P,5
BAR VODKA & GIN,THE BOTANIST,,900,P,5
BAR VODKA & GIN,Norm Inida,Norm Inida,750,P,5
BAR VODKA & GIN,Beluga,beluga,725,P,5
BAR Wine Indian,The Source Sav Blanc Reserve,,3450,P,5
BAR Wine Indian,Rasa Syrah,,4620,P,5
INDIAN SEA FOOD,Indian Prawns (100 GMS),Indian Prawns,450,P,5
INDIAN SEA FOOD,Indian Prawns (150 GMS),Indian Prawns,675,P,5
INDIAN SEA FOOD,Indian Prawns (250 GMS),Indian Prawns,900,P,5
COASTAL SEA FOOD,Prawns (100 GMS),Tiger Prawns,450,P,5
COASTAL SEA FOOD,Prawns (150 GMS),Tiger Prawns,675,P,5
COASTAL SEA FOOD,Prawns (200 GMS),Tiger Prawns,900,P,5
COASTAL SEA FOOD,Prawns (250 GMS),Tiger Prawns,1125,P,5
COASTAL SEA FOOD,Prawns (300 GMS),Tiger Prawns,1350,P,5
COASTAL SEA FOOD,Pompfret (500 GMS),Large Pomfret,2250,P,5
COASTAL SEA FOOD,Pompfret (600 GMS),Large Pomfret,2700,P,5
COASTAL SEA FOOD,Pompfret (700 GMS),Large Pomfret,3150,P,5
COASTAL SEA FOOD,Pompfret (800 GMS),Large Pomfret,3600,P,5
COASTAL SEA FOOD,Crab (500 GMS),Crab,2000,P,5
COASTAL SEA FOOD,Crab (600 GMS),Crab,2400,P,5
COASTAL SEA FOOD,Crab (700 GMS),Crab,2800,P,5
COASTAL SEA FOOD,Crab (800 GMS),Crab,3200,P,5
COASTAL SEA FOOD,Crab (900 GMS),Crab,3600,P,5
