Type,Missing_Item
Food Item,Fruit Punch
Food Item,Ginger Bliss
Food Item,Lemon Fizz
Food Item,Peach Satin
Food Item,Spice Guava
Food Item,Virgin Colada
Food Item,Shirely Temple
Food Item,Virgin Toddy
Food Item,Blue Sea
Food Item,Mist Fantsy
Food Item,Alaska
Food Item,Virgin Mary
Food Item,Virgin Margarita
Food Item,Crab (500 GMS)
Food Item,Prawns  REG
Food Item,Rawas (Chinese)
Food Item,Pompfret (600 GMS)
Food Item,Rawas (Gassi)
Food Item,Surmai (Gassi)
Food Item,Surmai (Masala Fry)
Food Item,Prawns (100 GMS)
Food Item,Pompfret (800 GMS)
Food Item,Lobster (400 GMS)
Food Item,Tiger Prawns (300 Gms)
Food Item,Prawns (150 GMS)
Food Item,Lobster (600 GMS)
Food Item,Pompfret (400 GMS)
Food Item,Rawas (Koliwada)
Food Item,Pompfret (500 GMS)
Food Item,Lobster (1000 GMS)
Food Item,Pompfret (1000 GMS)
Food Item,Lobster (800 GMS)
Food Item,Pompfret (700 GMS)
Food Item,Rawas (Tandoor)
Food Item,Rawas (Tawa Fry)
Food Item,Surmai (Koliwada)
Food Item,Rawas (Rawa Fry)
Food Item,Surmai (Chinese)
Food Item,Surmai (Pullimunchi)
Food Item,Surmai (Tawa Fry)
Food Item,Rawas (INDIAN)
Food Item,Rawas (Masala Fry)
Food Item,Rawas (Goan Green Curry)
Food Item,Surmai (INDIAN)
Food Item,Crab (600 GMS)
Food Item,Surmai (Rawa Fry)
Food Item,Surmai (Moheli)
Food Item,Surmai (Malwani Fry)
Food Item,Surmai (Tandoor)
Food Item,Rawas (Mangalorian Curry)
Food Item,Rawas (Malwani Fry)
Food Item,Squid (Chilly Fry)
Food Item,Crab (700 GMS)
Food Item,Lobster (500 GMS)
Food Item,Squid (Sukha in Manglorian Masala)
Food Item,Squid (Hoisin Ginger Garlic Sauce)
Food Item,Surmai (Mangalorian Curry)
Food Item,Rawas (Moheli)
Food Item,Rawas (Mallipuram)
Food Item,Pompfret (900 GMS)
Food Item,Beer Three + One
Food Item,P D R Alcohol
Food Item,Beer One + One
Food Item,1800
Food Item,1360
Food Item,1600
Food Item,2000
Food Item,2200
Food Item,BUFFET
Food Item,1500
Food Item,1200
Food Item,1700
Food Item,Pdr
Food Item,1900
Food Item,2500
Food Item,1650
Food Item,LAPHROAIG 10 YEARS
Food Item,TALISKER -10 YEARS
Food Item,GLENMORANGIE - 10 YEARS
Food Item,GLENLIVET - 12 YEARS
Food Item,GLENFIDDICH - 12 YEARS
Food Item,HIBIKI 12 YEARS
Food Item,LAGAVULIN -16 YEARS
Food Item,AMRUT - AMALGAM
Food Item,GLENFIDDICH -15 YEARS
Food Item,GLENLIVET -15 YEARS
Food Item,CAOL ILA - 12 YEARS
Food Item,GLENFIDDICH - 18 YEARS
Food Item,SMIRNOFF
Food Item,BLUE RIBAND
Food Item,SMIRNOFF FLAVOUR
Food Item,ABSOLUT
Food Item,HENDRICKS
Food Item,TANQUERAY
Food Item,THE BOTANIST
Food Item,BOMBAY SAPPHIRE
Food Item,MONKEY 47
Food Item,GREY GOOSE
Food Item,CIROC
Food Item,BELVEDERE
Food Item,GORDON'S
Food Item,KETEL ONE
Food Item,Virgin Colada
Food Item,Virgin Mojito
Food Item,Blue Sea
Food Item,Fruit Punch
Food Item,Mist Fantsy
Food Item,Peach Satin
Food Item,Shirely Temple
Food Item,Lemon Fizz
Food Item,Spice Guava
Food Item,Virgin Mary
Food Item,Virgin Toddy
Food Item,Virgin Margarita
Food Item,Virgin Daiquiri
Food Item,Ginger Bliss
