Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
Chocolate Ice Cream,LTR,12.0,0.96,11.04,92.0
Chopsuey Noodles,Kg,47.0,,,
Churma Atta,Kg,5.0,,,
Cinnamon (dalchini),Kg,1.5,0.2980000000000002,1.2019999999999997,80.13333333333331
Cling Foil,ROLL,33.0,,,
Clorex,BTL,20.0,,,
Cocoa Powder,Kg,5.0,,,
Coconut Big,PCS,279.0,1200.5,-921.5,-330.2867383512545
Coconut Dry,Kg,0.5,,,
Coconut Milk Powder,PKT,42.0,32.152000000000044,9.847999999999956,23.447619047618947
Coconut Oil,BTL,16.0,0.42999999999999994,15.57,97.3125
Coconut Syrup,BTL,3.0,,,
Coffee Cup 350 Ml,PCS,500.0,,,
Coffee Cup Lid 250 Ml,PCS,500.0,,,
Coffee Cup Lid 350 Ml,PCS,500.0,,,
Coffee Cup Lid 450 Ml,PCS,500.0,,,
Coffee Cups 250 Ml,PCS,500.0,,,
Coriander Leaves,Kg,193.5,19.017999999999716,174.48200000000028,90.17157622739033
Corn Flour,Kg,50.0,12.114000000000003,37.885999999999996,75.77199999999999
Corona,BTL,72.0,,,
Crab Whole Big,Kg,1.0,,,
Cranberry Juice,LTR,3.0,,,
Cream Cheese,Kg,11.0,,,
Cucumber,Kg,483.0,5.390000000000001,477.61,98.8840579710145
Curd Mother Dairy,Kg,480.0,19.5619999999999,460.4380000000001,95.92458333333336
Dalda,Kg,10.0,,,
Daliya,Kg,6.0,,,
Dark Chocolate 2.5kg,Kg,10.0,,,
Dark Compound,Kg,5.0,,,
Demerara Sugar 5 Gm,PKT,18.0,,,
Dhaniya Powder,Kg,3.0,,,
Dhaniya Whole,Kg,5.0,0.485,4.515,90.3
Dhokla Atta,Kg,6.0,,,
Diet Coke,CAN,240.0,,,
Dijon Mustard,BTL,1.0,0.04800000000000001,0.952,95.19999999999999
Dolly Paper Big,PKT,29.0,,,
Dolly Paper Small,PKT,62.0,,,
Drum Stick,Kg,11.0,,,
Dukes Soda,BTL,936.0,,,
Ech House Blend,Kg,90.0,,,
Edammame With Pot,Kg,2.0,,,
Edible Flower,PKT,1.0,,,
Eggs,PCS,4000.0,16664.0,-12664.0,-316.59999999999997
Elaichi Bananas,Kg,59.85,,,
Eno Regular,BTL,4.0,4.950000000000001,-0.9500000000000011,-23.75000000000003
Envelope,PKT,10.0,,,
Everyday Milk Powder,PKT,2.0,,,
Face Tissue,NOS,200.0,,,
Falooda,PKT,4.0,,,
Flat Noodles,PKT,3.0,,,
Floor Duster,NOS,96.0,,,
Frappe Powder,PKT,96.0,,,
French Fries 9mm,PKT,8.0,,,
French Lettuce Green,Kg,4.5,,,
French Lettuce Red,Kg,2.0,,,
Fresh Basil,Kg,11.2,2.782000000000001,8.418,75.16071428571428
Fresh Beans,Kg,311.5,3.220000000000001,308.28,98.96629213483146
Fresh Milk (tabela),LTR,130.0,42.964999999999996,87.035,66.95
Fresh Mushroom,Kg,116.80000000000004,36.32499999999999,80.47500000000005,68.89982876712331
Fresh Red Chilly,Kg,15.0,4.814000000000004,10.185999999999996,67.90666666666664
Frut Overload Ice Cream,LTR,8.0,0.12,7.88,98.5
Fuel Tin,TIN,72.0,,,
Galangal Thai,Kg,0.25,,,
Garam Masala,Kg,2.0,6.0210000000000035,-4.0210000000000035,-201.05000000000018
Garbage Bags,Kg,100.0,,,
Garbage Bags Medium,NOS,12.0,,,
Garbage Bags Small,NOS,33.0,,,
Garlic Whole,Kg,12.0,,,
Ghati Masala,Kg,0.6,,,
Ghee Nandani,Kg,86.0,42.68600000000008,43.31399999999992,50.365116279069674
Ginger,Kg,67.25,3.398000000000002,63.852,94.94721189591078
Ginger & Lime Cordial,BTL,2.0,,,
Ginger Ale,CAN,120.0,,,
Glucose Liquid,BTL,5.0,,,
Green Chilly,Kg,85.0,18.64699999999974,66.35300000000026,78.06235294117678
Green Corn,TIN,72.0,5.46,66.54,92.41666666666669
Green Curry Paste,JAR,1.0,,,
Green Elaichi,Kg,1.5,0.7962500000000006,0.7037499999999994,46.91666666666663
Green Garlic,Kg,0.4,,,
Green Lemon,Kg,22.0,,,
Green Peas,PKT,94.0,4.956000000000001,89.044,94.72765957446808
Green Peppercorn,BTL,2.0,2.64,-0.6400000000000001,-32.00000000000001
Green Vatana,Kg,25.0,,,
Green Zucchini,Kg,25.5,4.700000000000002,20.799999999999997,81.56862745098039
Grenadine Syrup,BTL,3.0,,,
Grey Goose Vodka,BTL,2.0,,,
Gulab Badam Slice Kulfi,PCS,20.0,11.0,9.0,45.0
Haldi Powder,Kg,21.0,7.240000000000003,13.759999999999998,65.52380952380952
Hand Gloves Plastic,PKT,10.0,,,
Hand Gloves Surgical,PKT,5.0,,,
Hand Wash 5 Ltr,CAN,6.0,,,
Hard Broom,NOS,2.0,,,
Hariyali Mawa,Kg,4.0,,,
Havmor Butterscotch Ice Cream,LTR,5.0,,,
Havmor Chocolate Ice Cream,LTR,5.0,,,
Havmor Vanilla Ice Cream,LTR,5.0,,,
Hazelnut Syrup,BTL,8.0,,,
Hazelut,Kg,0.5,,,
Heineken,BTL,24.0,,,
Hendricks,BTL,1.0,,,
Hing Powder,BTL,14.0,0.56,13.44,96.0
Hoegaarden Belgian,BTL,24.0,,,
Hoisin Sauce,BTL,3.0,0.22857142857142856,2.7714285714285714,92.38095238095238
Honey,BTL,4.0,0.12,3.88,97.0
Honey 15 Gm,PCS,200.0,,,
Hrt Roll Big,NOS,4.0,,,
Ice,Kg,2735.0,,,
Iceberg Lettuce,Kg,24.5,0.8,23.7,96.73469387755101
Icing Sugar,Kg,10.0,,,
Idli Rava,Kg,15.0,,,
Idli Wada,PCS,171.0,,,
Imli,Kg,7.0,0.04,6.96,99.42857142857143
Irish Syrup,BTL,2.0,,,
Irish Whisky Jameson Triple Distilled,BTL,1.0,,,
Italian Lemon,Kg,0.6,,,
J W Black Label,BTL,2.0,,,
J W Double Black,BTL,2.0,,,
J W Red Label,BTL,2.0,,,
Jacob S Creek Classic Caberne Shirz,BTL,6.0,,,
Jacob S Creek Classic Chardonnay,BTL,3.0,,,
Jacobs Creek Cabernet Shiraz,BTL,3.0,,,
Jaggery Powder Sachet,PKT,30.0,,,
Jaiphal,Kg,0.25,0.04900000000000001,0.20099999999999998,80.39999999999999
Jal Jeera,PKT,6.0,3.2000000000000006,2.7999999999999994,46.66666666666666
Jalepenos Slice,TIN,3.0,,,
Jamaican Jerk Seasonings,JAR,2.0,,,
Japanese Cucumber,Kg,1.5,,,
Javantry,Kg,0.5,0.06600000000000002,0.434,86.8
Jeera Powder,Kg,2.0,0.8800000000000001,1.1199999999999999,55.99999999999999
Jeera Whole,Kg,22.0,8.984000000000002,13.015999999999998,59.16363636363635
Jim Beam,BTL,1.0,,,
Kabuli Chana,Kg,35.0,6.5,28.5,81.42857142857143
Kaju Tukda,Kg,72.0,6.024000000000002,65.976,91.63333333333334
Kaju Whole,Kg,3.0,0.656,2.344,78.13333333333333
Kalonji,Kg,0.25,0.024,0.226,90.4
Karela,Kg,7.0,4.5,2.5,35.714285714285715
Kashmiri Chilli,Kg,78.0,1.9520000000000004,76.048,97.4974358974359
Kashmiri Chilli Powder,PKT,22.0,0.05,21.95,99.77272727272727
Kasuri Methi,PKT,30.0,34.87999999999953,-4.8799999999995265,-16.26666666666509
Kesar Pista Ice Cream,Kg,0.5,,,
Kesar Pista Kulfi,PCS,10.0,9.0,1.0,10.0
Ketel One,BTL,1.0,,,
Kewra Water,BTL,7.0,0.7999999999999999,6.2,88.57142857142858
Khajur,Kg,7.0,,,
Khas Khas,Kg,0.5,,,
Khichiya Papad,PKT,16.0,,,
Khichu Masala,PKT,1.0,,,
Kingfisher,BTL,120.0,,,
Kingfisher Strong,BTL,48.0,,,
Kingfisher Ultra,BTL,120.0,,,
Kirana Bag,PKT,5.0,,,
Kishmish,Kg,4.0,,,
Kitchen King,PKT,18.0,11.616000000000009,6.3839999999999915,35.46666666666662
Kodai Shroom,Kg,3.0,,,
Kokam Syrup,BTL,4.0,,,
Kokum,Kg,2.0,0.612,1.388,69.39999999999999
Kot Roll,NOS,100.0,,,
Lady Finger,Kg,18.0,9.6,8.4,46.666666666666664
Lapsi,Kg,3.0,,,
Laung,Kg,0.25,0.2460000000000002,0.003999999999999809,1.5999999999999237
Leeks,Kg,1.0,,,
Legacy Premium,BTL,1.0,,,
Lemon,Kg,253.0,2.887000000000002,250.113,98.85889328063242
Lemon Grass,Kg,3.0,0.041999999999999996,2.958,98.60000000000001
Lemon Iced Tea Syrup,LTR,7.0,,,
Lemon Leaves,Kg,0.7,,,
Lemon Pickle,Kg,30.0,,,
Liquid Soup,LTR,555.0,,,
Litchi Crush,BTL,1.0,,,
Lotus Root,Kg,1.0,,,
Lunch Box Big,NOS,1500.0,,,
M Fold Tissue,PKT,320.0,,,
Macarons,PCS,444.0,,,
Macro Green,PKT,3.0,,,
Madagascar Chocolate,PKT,13.0,,,
Maggi Seasoning Sauce,BTL,3.0,0.17,2.83,94.33333333333334
Maida,Kg,700.0,129.06700000000063,570.9329999999993,81.56185714285704
Makai Atta,Kg,2.0,0.2,1.8,90.0
Malai Kulfi,PCS,270.0,134.0,136.0,50.37037037037037
Malai Paneer,Kg,428.0,334.8149999999996,93.1850000000004,21.772196261682335
Mango Pickle,Kg,45.0,,,
Mango Slice Kulfi,PCS,5.0,3.0,2.0,40.0
Marker,NOS,12.0,,,
Masoor Dal,Kg,150.0,,,
Mazes Of Coorg,Kg,3.0,,,
Meat Masala,PKT,6.0,,,
Medium Prawns,Kg,28.9,9.45,19.45,67.30103806228374
