Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Restaurant Kitchen,Garbage Bags,Kg,90.0,,,
Restaurant Kitchen,Hand Gloves Surgical,PKT,2.0,,,
Restaurant Kitchen,Hard Broom,NOS,2.0,,,
Restaurant Kitchen,Ice,Kg,80.0,,,
Restaurant Kitchen,Kot Roll,NOS,35.0,,,
Restaurant Kitchen,Liquid Soup,LTR,500.0,,,
Restaurant Kitchen,Melting Pot Stickers,PKT,7000.0,,,
Restaurant Kitchen,Mixed Pickle 12 Gm,PCS,400.0,,,
Restaurant Kitchen,Mop Refill,NOS,5.0,,,
Restaurant Kitchen,Paper Bag Big,NOS,475.0,,,
Restaurant Kitchen,Paper Bag Small,NOS,1400.0,,,
Restaurant Kitchen,Pitambari,PKT,40.0,,,
Restaurant Kitchen,Plastic Cont With Lid 1000 Ml Rect,PKT,10.0,,,
Restaurant Kitchen,Plastic Cont With Lid 250 Ml Rnd,PKT,2.0,,,
Restaurant Kitchen,Plastic Cont With Lid 30 Ml,PKT,22.0,,,
Restaurant Kitchen,Plastic Cont With Lid 450 Ml Rnd,PKT,4.0,,,
Restaurant Kitchen,Plastic Cont With Lid 50 Ml,PKT,18.0,,,
Restaurant Kitchen,Plastic Cont With Lid 700 Ml Rnd,PKT,15.0,,,
Restaurant Kitchen,Scrub Pad,NOS,25.0,,,
Restaurant Kitchen,Silver Container 450 Ml,PKT,12.0,,,
Restaurant Kitchen,Silver Container 750 Ml,PKT,3.0,,,
Restaurant Kitchen,Silver Foil,PCS,24.0,,,
Restaurant Kitchen,Skull Cap,PKT,16.0,,,
Restaurant Kitchen,Steel Scrubber,PCS,135.0,,,
Restaurant Kitchen,White Phenyle,LTR,40.0,,,
Restaurant Pentry,Almond,Kg,0.2,,,
Restaurant Pentry,Amul Cream,PKT,3.0,90.7340000000005,-87.7340000000005,-2924.4666666666835
Restaurant Pentry,Apple,Kg,5.0,0.2,4.8,96.0
Restaurant Pentry,Badi Sunf,Kg,1.0,0.094,0.906,90.60000000000001
Restaurant Pentry,Beetroots,Kg,8.0,3.5,4.5,56.25
Restaurant Pentry,Boondi,Kg,1.5,0.15999999999999998,1.34,89.33333333333334
Restaurant Pentry,Butter Amul,PKT,30.0,43.673999999999715,-13.673999999999715,-45.579999999999046
Restaurant Pentry,Butter Scotch Ice Cream,LTR,12.0,1.08,10.92,91.0
Restaurant Pentry,Carrots,Kg,302.0,32.40999999999992,269.5900000000001,89.26821192052982
Restaurant Pentry,Chat Masala,PKT,19.0,148.6800000000012,-129.6800000000012,-682.52631578948
Restaurant Pentry,Cheese Amul,Kg,2.0,13.455000000000004,-11.455000000000004,-572.7500000000002
Restaurant Pentry,Cheese Amul Slice,PKT,1.0,,,
Restaurant Pentry,Cheese Mozzarella,Kg,4.0,,,
Restaurant Pentry,Chocolate Ice Cream,LTR,12.0,0.96,11.04,92.0
Restaurant Pentry,Coriander Leaves,Kg,6.75,19.017999999999713,-12.267999999999713,-181.74814814814388
Restaurant Pentry,Cucumber,Kg,455.0,5.390000000000001,449.61,98.81538461538462
Restaurant Pentry,Curd Mother Dairy,Kg,134.0,19.5619999999999,114.4380000000001,85.4014925373135
Restaurant Pentry,Eggs,PCS,1110.0,16664.0,-15554.0,-1401.261261261261
Restaurant Pentry,Falooda,PKT,4.0,,,
Restaurant Pentry,French Fries 9mm,PKT,6.0,,,
Restaurant Pentry,French Lettuce Green,Kg,1.75,,,
Restaurant Pentry,French Lettuce Red,Kg,1.75,,,
