Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Onion,Friday,Kg,12145.0,48.75,45.07692307692307,3.673076923076927,8.15
Refind Oil,Thursday,LTR,11999.7,45.0,45.57142857142858,-0.5714285714285765,-1.25
Aquafina Water,Thursday,BTL,11600.64,480.0,510.0,-30.0,-5.88
Onion,Monday,Kg,11408.0,45.75,57.53846153846154,-11.78846153846154,-20.49
Yellow Banana Chips,Friday,Kg,11400.0,10.0,11.0,-1.0,-9.09
Bisleri 250 Ml,Tuesday,BTL,11399.994999999999,1200.0,1408.0,-208.0,-14.77
Tiger Prawns,Tuesday,Kg,11110.0,5.05,4.8,0.25,5.21
The Glenlivet 12 Years,Wednesday,BTL,10951.68,2.0,1.0,1.0,100.0
Butter Amul,Monday,PKT,10800.0,40.0,40.0,0.0,0.0
Butter Amul,Saturday,PKT,10800.0,40.0,40.0,0.0,0.0
Butter Amul,Thursday,PKT,10800.0,40.0,40.0,0.0,0.0
Butter Amul,Tuesday,PKT,10800.0,40.0,40.0,0.0,0.0
Butter Amul,Wednesday,PKT,10800.0,40.0,40.0,0.0,0.0
Chicken Leg Bonless,Friday,Kg,10800.0,9.0,9.538461538461537,-0.5384615384615365,-5.65
Onion,Tuesday,Kg,10634.0,43.25,45.84615384615384,-2.5961538461538396,-5.66
Chicken Leg Bonless,Wednesday,Kg,10500.0,8.75,6.5,2.25,34.62
Chicken Leg Bonless,Monday,Kg,10200.0,8.5,8.899999999999999,-0.3999999999999986,-4.49
Tiger Prawns,Saturday,Kg,10120.0,4.6,4.233333333333333,0.36666666666666625,8.66
Milk 3 Fat,Saturday,PKT,10080.0,36.0,26.411764705882355,9.588235294117645,36.3
Peel Garlic,Tuesday,Kg,10080.0,9.333333333333334,10.666666666666666,-1.3333333333333321,-12.5
Char Magaz,Thursday,Kg,9828.0,8.0,6.666666666666667,1.333333333333333,20.0
Dark Chocolate 2.5kg,Monday,Kg,9800.02,10.0,15.0,-5.0,-33.33
Tiger Prawns,Thursday,Kg,9680.0,4.4,6.7,-2.3,-34.33
Chapati For Staff,Thursday,PCS,9625.0,250.0,286.3636363636364,-36.363636363636374,-12.7
Paper Bag Small,Saturday,NOS,9617.0,550.0,500.0,50.0,10.0
Spicy Banana Chips (red),Friday,Kg,9600.0,10.0,10.0,0.0,0.0
Grey Goose Vodka,Saturday,BTL,9598.599999999999,1.0,1.0,0.0,0.0
Refind Oil,Monday,LTR,9537.619999999999,17.5,42.666666666666664,-25.166666666666664,-58.98
Curd Mother Dairy,Thursday,Kg,9355.5,18.0,14.375000000000002,3.6249999999999982,25.22
Amul Milk,Monday,LTR,9304.800000000001,24.6,26.666666666666668,-2.0666666666666664,-7.75
Chicken Breast Bonless,Thursday,Kg,9300.0,7.75,6.249999999999999,1.5000000000000009,24.0
After Mint M Pot,Tuesday,PKT,9187.5,35.0,25.0,10.0,40.0
Orange Imp,Saturday,Kg,9000.0,12.5,10.346153846153847,2.1538461538461533,20.82
Milk 3 Fat,Wednesday,PKT,8960.0,22.857142857142858,23.22222222222222,-0.3650793650793638,-1.57
Orange Imp,Monday,Kg,8820.0,12.25,10.67,1.58,14.81
Orange Imp,Thursday,Kg,8820.0,12.25,11.81818181818182,0.4318181818181799,3.65
Curd Mother Dairy,Tuesday,Kg,8731.8,21.0,17.333333333333336,3.6666666666666643,21.15
Chicken Breast Bonless,Monday,Kg,8700.0,7.25,6.636363636363637,0.6136363636363633,9.25
Corona,Wednesday,BTL,8682.336,48.0,24.0,24.0,100.0
Cheese Amul,Sunday,Kg,8682.24,8.5,12.0,-3.5,-29.17
Orange Imp,Sunday,Kg,8568.0,11.9,10.442857142857141,1.457142857142859,13.95
Moong Dal,Wednesday,Kg,8450.0,21.666666666666664,25.0,-3.3333333333333357,-13.33
Black Dog Triple Gold Reserve,Saturday,BTL,8407.98,3.0,2.0,1.0,50.0
Eggs,Wednesday,PCS,8360.0,260.0,234.6153846153846,25.384615384615387,10.82
Curd Mother Dairy,Sunday,Kg,8316.0,20.0,15.0,5.0,33.33
Chapati For Staff,Friday,PCS,8250.0,300.0,290.0,10.0,3.45
Chapati For Staff,Sunday,PCS,8250.0,300.0,300.0,0.0,0.0
Cheese Amul,Friday,Kg,8171.52,8.0,12.0,-4.0,-33.33
Cheese Amul,Tuesday,Kg,8171.52,8.0,12.0,-4.0,-33.33
Orange Imp,Wednesday,Kg,8100.0,11.25,13.53846153846154,-2.28846153846154,-16.9
Malai Paneer,Monday,Kg,8060.0,8.666666666666666,8.166666666666668,0.4999999999999982,6.12
Orange Imp,Tuesday,Kg,8046.0,11.175,12.483333333333334,-1.3083333333333336,-10.48
Aquafina Water,Monday,BTL,7970.4,318.0,420.0,-102.0,-24.29
Frappe Powder,Tuesday,PKT,7950.744,8.0,15.333333333333334,-7.333333333333334,-47.83
Tomatos,Sunday,Kg,7920.0,49.5,30.538461538461537,18.961538461538463,62.09
Coconut Milk Powder,Saturday,PKT,7915.068,12.0,12.0,0.0,0.0
Milk 3 Fat,Thursday,PKT,7840.0,28.0,24.25,3.75,15.46
Chicken Breast Bonless,Saturday,Kg,7800.0,8.666666666666666,7.75,0.9166666666666661,11.83
Rawas Fish,Sunday,Kg,7755.0,4.699999999999999,4.300000000000001,0.3999999999999986,9.3
Mutton Big Raan,Friday,Kg,7440.0,6.2,9.428571428571429,-3.2285714285714286,-34.24
Amul Cream,Tuesday,PKT,7380.0,18.0,12.0,6.0,50.0
Orange Imp,Friday,Kg,7380.0,10.25,9.961538461538462,0.2884615384615383,2.9
Milk 3 Fat,Friday,PKT,7280.0,26.0,25.31578947368421,0.6842105263157912,2.7
Milk 3 Fat,Sunday,PKT,7280.0,26.0,26.0,0.0,0.0
Aquafina Water,Friday,BTL,7250.4,600.0,400.0,200.0,50.0
Aquafina Water,Tuesday,BTL,7250.4,600.0,570.0,30.0,5.26
Papad Big,Thursday,PKT,7200.0,10.0,8.0,2.0,25.0
Tomatos,Thursday,Kg,7160.0,35.8,37.28571428571429,-1.4857142857142946,-3.98
Amul Milk,Friday,LTR,7140.0,19.2,32.0,-12.8,-40.0
Black & White,Wednesday,BTL,7111.23,3.0,2.0,1.0,50.0
Amul Milk,Sunday,LTR,7106.4,32.0,26.18181818181818,5.81818181818182,22.22
Amul Milk,Thursday,LTR,7106.4,32.0,21.818181818181817,10.181818181818183,46.67
Kashmiri Chilli,Wednesday,Kg,6930.0,15.0,16.5,-1.5,-9.09
Madagascar Chocolate,Monday,PKT,6873.5,1.0,1.6666666666666667,-0.6666666666666667,-40.0
Tissue Paper Ettarra,Thursday,PKT,6844.0,100.0,150.0,-50.0,-33.33
Tissue Paper Melting Pot,Thursday,PKT,6844.0,100.0,100.0,0.0,0.0
Kabuli Chana,Wednesday,Kg,6825.0,7.0,8.75,-1.75,-20.0
Milk 3 Fat,Monday,PKT,6720.0,24.0,23.941176470588236,0.0588235294117645,0.25
Mutton Big Raan,Wednesday,Kg,6720.0,5.6,7.083333333333334,-1.4833333333333343,-20.94
Tomatos,Saturday,Kg,6720.0,42.0,40.076923076923066,1.923076923076934,4.8
Curd Mother Dairy,Friday,Kg,6652.799999999999,16.0,16.57142857142857,-0.5714285714285694,-3.45
Prawns Frozen 70/80,Monday,Kg,6480.030000000001,6.0,5.0,1.0,20.0
Milk 3 Fat,Tuesday,PKT,6440.0,19.166666666666668,24.062500000000004,-4.895833333333336,-20.35
Kashmiri Chilli Powder,Thursday,PKT,6352.5,5.5,3.5,2.0,57.14
Absolut Vodka,Friday,BTL,6160.86,3.0,6.0,-3.0,-50.0
Cheese Amul,Monday,Kg,6128.64,12.0,12.0,0.0,0.0
Cheese Amul,Thursday,Kg,6128.64,12.0,12.0,0.0,0.0
Ness Coffee,Saturday,PKT,6032.04,2.0,2.5,-0.5,-20.0
Curd Mother Dairy,Monday,Kg,6029.099999999999,19.333333333333332,14.249999999999998,5.083333333333334,35.67
Chicken Breast Bonless,Friday,Kg,6000.0,6.666666666666667,7.0,-0.33333333333333304,-4.76
Black Dal,Wednesday,Kg,5940.0,9.0,7.777777777777778,1.2222222222222223,15.71
Kot Roll,Friday,NOS,5900.0,100.0,112.0,-12.0,-10.71
Eggs,Tuesday,PCS,5850.0,225.0,220.0,5.0,2.27
Curd Mother Dairy,Wednesday,Kg,5821.200000000001,14.0,15.5,-1.5,-9.68
Chapati For Staff,Wednesday,PCS,5775.0,262.5,291.6666666666667,-29.166666666666686,-10.0
Cocoa Powder,Saturday,Kg,5694.1,5.0,5.0,0.0,0.0
Coconut Oil,Wednesday,BTL,5600.0,3.2,4.375,-1.1749999999999998,-26.86
Amul Cream,Monday,PKT,5580.0,9.0,12.0,-3.0,-25.0
Cling Foil,Monday,ROLL,5522.4,6.0,6.0,0.0,0.0
The Glenlivet 12 Years,Friday,BTL,5477.83,1.0,1.0,0.0,0.0
White Urad Dal,Wednesday,Kg,5460.0,30.0,11.666666666666666,18.333333333333336,157.14
Amul Milk,Wednesday,LTR,5443.200000000001,36.0,27.0,9.0,33.33
Demerara Sugar 5 Gm,Tuesday,PKT,5443.2,18.0,1.0,17.0,1700.0
Plastic Cont With Lid 450 Ml Rnd,Thursday,PKT,5380.8,16.0,16.0,0.0,0.0
Plastic Cont With Lid 250 Ml Rnd,Thursday,PKT,5310.0,20.0,20.0,0.0,0.0
Fresh Mushroom,Sunday,Kg,5262.6,7.35,4.892307692307692,2.457692307692308,50.24
After Mint M Pot,Monday,PKT,5250.0,20.0,35.0,-15.0,-42.86
Tomatos,Monday,Kg,5240.0,32.75,48.53846153846154,-15.78846153846154,-32.53
Kingfisher Strong,Friday,BTL,5214.576,48.0,24.0,24.0,100.0
Nutella Sauce,Friday,Kg,5182.56,3.0,3.0,0.0,0.0
Bisleri 250 Ml,Monday,BTL,5039.997,528.0,1072.0,-544.0,-50.75
Oat Milk,Thursday,LTR,5031.0,14.4,9.6,4.800000000000001,50.0
Curd Mother Dairy,Saturday,Kg,4989.6,12.0,15.764705882352942,-3.764705882352942,-23.88
Chicken Supreme,Thursday,Kg,4960.0,3.2,2.888888888888889,0.31111111111111134,10.77
M Fold Tissue,Saturday,PKT,4956.0,46.666666666666664,50.0,-3.3333333333333357,-6.67
Chapati For Staff,Saturday,PCS,4950.0,300.0,300.0,0.0,0.0
Rawas Fish,Tuesday,Kg,4950.0,4.5,4.2,0.2999999999999998,7.14
Amul Milk,Saturday,LTR,4944.0,21.333333333333332,27.0,-5.666666666666668,-20.99
