Raw_Material,Category,Sub_Category,HSN_Code,Sap_Code,Unit,Date,Closing
Green Elaichi,Grocery,Spices,0,,Kg,2024-07-31,0.75
Ghati Masala,Grocery,Spices,0,,Kg,2024-07-31,0.3
Garam Masala,Grocery,Spices,0,,Kg,2024-07-31,0.0
Dry Ginger,Grocery,Spices,0,,Kg,2024-07-31,0.0
Dhaniya Whole,Grocery,Spices,0,,Kg,2024-07-31,1.0
Dhaniya Powder,Grocery,Spices,0,,Kg,2024-07-31,2.0
Dalchini Powder,Grocery,Spices,0,,Kg,2024-07-31,0.0
Dagad Phool,Grocery,Spices,0,,Kg,2024-07-31,0.2
Cinnamon (dalchini),Grocery,Spices,0,,Kg,2024-07-31,0.0
Chilli Flakes,Grocery,Spices,0,,Kg,2024-07-31,2.0
Bor Chilli,Grocery,Spices,0,,Kg,2024-07-31,3.0
Black Pepper Whole,Grocery,Spices,0,,Kg,2024-07-31,0.9
Black Pepper Powder,Grocery,Spices,0,,Kg,2024-07-31,1.0
Black Fungus,Grocery,Spices,0,,Kg,2024-07-31,0.65
Black Elaichi,Grocery,Spices,0,,Kg,2024-07-31,0.35
Bedki Chilli Dry,Grocery,Spices,0,,Kg,2024-07-31,0.0
Amchur Powder,Grocery,Spices,0,,Kg,2024-07-31,0.0
Almond Powder,Grocery,Spices,0,,Kg,2024-07-31,0.0
Ajwain,Grocery,Spices,0,,Kg,2024-07-31,0.85
White Till,Grocery,Seeds,0,,Kg,2024-07-31,3.6
Rai,Grocery,Seeds,0,,Kg,2024-07-31,0.9
Black Till,Grocery,Seeds,0,,Kg,2024-07-31,1.5
Black Beans Seed,Grocery,Seeds,0,,Kg,2024-07-31,0.0
Bajra,Grocery,Seeds,0,,Kg,2024-07-31,3.0
Badi Sunf,Grocery,Seeds,0,,Kg,2024-07-31,0.2
Ukda Rice Brown,Grocery,Rice,0,,Kg,2024-07-31,2.0
Staff Rice,Grocery,Rice,0,,Kg,2024-07-31,0.0
Risotto Rice,Grocery,Rice,0,,Kg,2024-07-31,0.0
Jasmine Rice,Grocery,Rice,0,,Kg,2024-07-31,4.0
Basmati Rice,Grocery,Rice,0,,Kg,2024-07-31,61.0
Appam Rice,Grocery,Rice,0,,Kg,2024-07-31,17.0
Chilli Pickle,Grocery,Pickle,0,,Kg,2024-07-31,0.0
Yellow Kirin Soft Flour,Grocery,Flour,0,,Kg,2024-07-31,0.0
Tempura Flour,Grocery,Flour,0,,Kg,2024-07-31,20.0
Rice Atta,Grocery,Flour,0,,Kg,2024-07-31,5.0
Rajgiri Atta,Grocery,Flour,0,,Kg,2024-07-31,0.0
Phulka Atta,Grocery,Flour,0,,Kg,2024-07-31,0.0
Makai Atta,Grocery,Flour,0,,Kg,2024-07-31,6.0
Maida,Grocery,Flour,0,,Kg,2024-07-31,49.0
Dhokla Atta,Grocery,Flour,0,,Kg,2024-07-31,0.0
Churma Atta,Grocery,Flour,0,,Kg,2024-07-31,5.0
Blue Bird Maida,Grocery,Flour,0,,Kg,2024-07-31,6.0
Besan,Grocery,Flour,0,,Kg,2024-07-31,10.0
Bajra Atta,Grocery,Flour,0,,Kg,2024-07-31,0.0
Atta,Grocery,Flour,0,,Kg,2024-07-31,5.0
Walnuts,Grocery,Dry Fruits,0,,Kg,2024-07-31,0.0
Pista,Grocery,Dry Fruits,0,,Kg,2024-07-31,0.1
Kishmish,Grocery,Dry Fruits,0,,Kg,2024-07-31,1.3
Khajur,Grocery,Dry Fruits,0,,Kg,2024-07-31,5.0
Kaju Whole,Grocery,Dry Fruits,0,,Kg,2024-07-31,0.2
Kaju Tukda,Grocery,Dry Fruits,0,,Kg,2024-07-31,9.5
Almond,Grocery,Dry Fruits,0,,Kg,2024-07-31,0.0
White Chana,Grocery,Dal,0,,Kg,2024-07-31,0.0
Toor Dal,Grocery,Dal,0,,Kg,2024-07-31,22.0
Rajma Chitra,Grocery,Dal,0,,Kg,2024-07-31,5.5
Moong Whole,Grocery,Dal,0,,Kg,2024-07-31,0.0
Moong Dal,Grocery,Dal,0,,Kg,2024-07-31,6.0
Matki Dal,Grocery,Dal,0,,Kg,2024-07-31,0.0
Masoor Whole,Grocery,Dal,0,,Kg,2024-07-31,4.0
Masoor Dal,Grocery,Dal,0,,Kg,2024-07-31,0.0
Kabuli Chana,Grocery,Dal,0,,Kg,2024-07-31,4.5
Chana Dal,Grocery,Dal,0,,Kg,2024-07-31,1.5
Black Dal,Grocery,Dal,0,,Kg,2024-07-31,16.9
Black Chana,Grocery,Dal,0,,Kg,2024-07-31,0.0
Green Peppercorn,Grocery,,0,,BTL,2024-07-31,1.0
French Mustard,Grocery,,0,,BTL,2024-07-31,4.0
Dijon Mustard,Grocery,,0,,BTL,2024-07-31,2.0
Eno Regular,Grocery,,0,,BTL,2024-07-31,2.0
Hing Powder,Grocery,Spices,0,,BTL,2024-07-31,5.0
Jamaican Jerk Seasonings,Grocery,Spices,0,,JAR,2024-07-31,2.0
Chapati For Staff,Grocery,,0,,PCS,2024-07-31,0.0
Digestive Biscuit,Grocery,Biscuits,0,,PKT,2024-07-31,3.0
Soba Noodles,Grocery,,0,,PKT,2024-07-31,12.0
Salt Tata,Grocery,,0,,PKT,2024-07-31,30.0
Salt Sachet,Grocery,,0,,PKT,2024-07-31,1.0
Pepper Sachet,Grocery,,0,,PKT,2024-07-31,0.0
Papdi,Grocery,,0,,PKT,2024-07-31,0.0
Papad Big,Grocery,,0,,PKT,2024-07-31,10.0
Oreo Biscuit,Grocery,,0,,PKT,2024-07-31,0.0
Nutrela Soya,Grocery,,0,,PKT,2024-07-31,3.0
Nature Jaggery,Grocery,,0,,PKT,2024-07-31,2.0
Mix Pickle,Grocery,,0,,PKT,2024-07-31,0.0
Khichiya Papad,Grocery,,0,,PKT,2024-07-31,2.0
Jaggery Powder Sachet,Grocery,,0,,PKT,2024-07-31,32.0
Falooda,Grocery,,0,,PKT,2024-07-31,1.0
Corn Flakes,Grocery,,0,,PKT,2024-07-31,0.0
Coconut Milk Powder,Grocery,,0,,PKT,2024-07-31,5.0
Baking Soda,Grocery,,0,,PKT,2024-07-31,0.0
After Mint T One,Grocery,,0,,PKT,2024-07-31,31.0
After Mint M Pot,Grocery,,0,,PKT,2024-07-31,15.0
Everyday Milk Powder,Grocery,,0,,PKT,2024-07-31,5.0
Dry Yeast,Grocery,,0,,PKT,2024-07-31,0.0
Bread Slice,Grocery,,0,,PKT,2024-07-31,0.0
Sugar Free,Grocery,Sugar,0,,PKT,2024-07-31,2.0
Sugar 5 Gm,Grocery,Sugar,0,,PKT,2024-07-31,9.0
Demerara Sugar 5 Gm,Grocery,Sugar,0,,PKT,2024-07-31,4.0
Togarashi Powder,Grocery,Spices,0,,PKT,2024-07-31,3.0
Sambhar Masala,Grocery,Spices,0,,PKT,2024-07-31,0.0
Saffron (kesar),Grocery,Spices,0,,PKT,2024-07-31,2.0
Rasam Powder,Grocery,Spices,0,,PKT,2024-07-31,5.0
Pav Bhaji Masala,Grocery,Spices,0,,PKT,2024-07-31,5.0
Meat Masala,Grocery,Spices,0,,PKT,2024-07-31,8.0
Maggi Cube Veg,Grocery,Spices,0,,PKT,2024-07-31,7.0
Kitchen King,Grocery,Spices,0,,PKT,2024-07-31,2.0
Khichu Masala,Grocery,Spices,0,,PKT,2024-07-31,1.0
Kasuri Methi,Grocery,Spices,0,,PKT,2024-07-31,15.0
Kashmiri Chilli Powder,Grocery,Spices,0,,PKT,2024-07-31,3.0
Jal Jeera,Grocery,Spices,0,,PKT,2024-07-31,1.0
Chicken Masala,Grocery,Spices,0,,PKT,2024-07-31,2.0
Chicken Broth Powder,Grocery,Spices,0,,PKT,2024-07-31,0.0
Chat Masala,Grocery,Spices,0,,PKT,2024-07-31,13.0
Chana Masala,Grocery,Spices,0,,PKT,2024-07-31,0.0
Black Pepper Sachet,Grocery,Spices,0,,PKT,2024-07-31,1.0
Baking Powder,Grocery,Spices,0,,PKT,2024-07-31,2.0
Aromatic Powder,Grocery,Spices,0,,PKT,2024-07-31,2.0
Agar Agar Powder,Grocery,Spices,0,,PKT,2024-07-31,0.0
Whole Wheat Penne,Grocery,Pasta,0,,PKT,2024-07-31,2.0
Spaghetti Pasta,Grocery,Pasta,0,,PKT,2024-07-31,4.0
Penne Pasta,Grocery,Pasta,0,,PKT,2024-07-31,7.0
Macaroni Pasta,Grocery,Pasta,0,,PKT,2024-07-31,2.0
Lasagna Sheet,Grocery,Pasta,0,,PKT,2024-07-31,1.0
Fusili Pasta,Grocery,Pasta,0,,PKT,2024-07-31,2.0
Farfale Pasta,Grocery,Pasta,0,,PKT,2024-07-31,2.0
Madras Curry Powder,Grocery,Spices,0,,TIN,2024-07-31,1.0
Sea Salt (kg),grocery,,0,,Kg,2024-07-31,0.0
Jaggery Powder,grocery,,,,Kg,2024-07-31,2.0
Green Cucumber,grocery,,,,Kg,2024-07-31,0.0
Gulkand,grocery,,,,Kg,2024-07-31,0.0
White Urad Dal,grocery,Dal,,,Kg,2024-07-31,16.0
Cake Base Round Big,grocery,,,,NOS,2024-07-31,0.0
Chikki,grocery,,,,PKT,2024-07-31,0.0
Gas Bill,Accounts,Gas Expenses,,,NOS,2024-07-31,1.0
Electricity Bill,Accounts,Electricity Bill,,,NOS,2024-07-31,3.0
Repair Works,Accounts,Repair & Maintenance,,,NOS,2024-07-31,7.0
Medical Expenses,Accounts,Medical,,,NOS,2024-07-31,1.0
Rubber Ring Mat,Accounts,Vendor,,,NOS,2024-07-31,0.0
Sev Puri,Accounts,Boss Expenses,,,NOS,2024-07-31,3.0
Stationary,Accounts,Printing & Stationary,,,NOS,2024-07-31,13.0
Home Delivery (conv),Accounts,Conveyance,,,NOS,2024-07-31,1.0
Incentives,Accounts,Incentives & Commissions,,,NOS,2024-07-31,2.0
Car Wash,Accounts,Repair & Maintenance,,,NOS,2024-07-31,14.0
Amazon & Flipkart,Accounts,Amazon & Flipkart,,,NOS,2024-07-31,1.0
Nagesh Shetty,Accounts,Conveyance,,,NOS,2024-07-31,1.0
Ravindra Shetty,Accounts,Conveyance,,,NOS,2024-07-31,5.0
Shambhu,Accounts,Conveyance,,,NOS,2024-07-31,1.0
Pooja Expenses,Accounts,Pooja,,,NOS,2024-07-31,12.0
Flower For Mpot,Accounts,Flowers,,,NOS,2024-07-31,1.0
Printing,Accounts,Printing & Stationary,,,NOS,2024-07-31,1.0
Cling Foil,Non Food,,0,,ROLL,2024-07-31,6.0
A4 Size Paper,Non Food,,0,,RIM,2024-07-31,8.0
Garbage Bags,Non Food,H.k Materials,0,,Kg,2024-07-31,31.0
Lemon Grass Liquid,Non Food,H.k Materials,0,,BTL,2024-07-31,4.0
Harpic,Non Food,H.k Materials,0,,BTL,2024-07-31,0.0
Hand Wash Kimberly Clerk 1ltr,Non Food,H.k Materials,0,,BTL,2024-07-31,0.0
Floor Cleaner,Non Food,H.k Materials,0,,BTL,2024-07-31,1.0
Clorex,Non Food,H.k Materials,0,,BTL,2024-07-31,6.0
Shower Gel 5l,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Shampoo 5l,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Reva-m Rinse,Non Food,H.k Materials,0,,CAN,2024-07-31,1.0
Reva-m Det,Non Food,H.k Materials,0,,CAN,2024-07-31,1.0
Reva R6,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Reva R5,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Reva R4,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Reva R2,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Reva R1,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Hand Wash 5 Ltr,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Glass Cleaner,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
Body Lotion 5l,Non Food,H.k Materials,0,,CAN,2024-07-31,0.0
White Phenyle,Non Food,H.k Materials,0,,LTR,2024-07-31,10.0
Sanitizer,Non Food,H.k Materials,0,,LTR,2024-07-31,0.0
Liquid Soup,Non Food,H.k Materials,0,,LTR,2024-07-31,155.0
Bath Towels,Non Food,Others,0,,NOS,2024-07-31,0.0
Aluminium Dia,Non Food,Others,0,,NOS,2024-07-31,0.0
Buckets,Non Food,H.k Materials,0,,NOS,2024-07-31,0.0
Register Book,Non Food,,0,,NOS,2024-07-31,6.0
Push Pump,Non Food,,0,,NOS,2024-07-31,2.0
Printer Cartridges,Non Food,,0,,NOS,2024-07-31,2.0
Pencil Battery,Non Food,,0,,NOS,2024-07-31,0.0
Pencil,Non Food,,0,,NOS,2024-07-31,0.0
Pen,Non Food,,0,,NOS,2024-07-31,25.0
Note Book,Non Food,,0,,NOS,2024-07-31,3.0
Marker,Non Food,,0,,NOS,2024-07-31,8.0
Kot Roll,Non Food,,0,,NOS,2024-07-31,87.0
Kot Book,Non Food,,0,,NOS,2024-07-31,0.0
Kitchen Roll Dispencer,Non Food,,0,,NOS,2024-07-31,0.0
Kitchen Roll,Non Food,,0,,NOS,2024-07-31,0.0
Keyboard,Non Food,,0,,NOS,2024-07-31,1.0
Hrt Roll Big,Non Food,,0,,NOS,2024-07-31,0.0
Fevi Kwik,Non Food,,0,,NOS,2024-07-31,2.0
Duracell,Non Food,,0,,NOS,2024-07-31,0.0
Cello Tape,Non Food,,0,,NOS,2024-07-31,24.0
Carbon Paper,Non Food,,0,,NOS,2024-07-31,0.0
Scrub Pad,Non Food,U.t Materials,0,,NOS,2024-07-31,13.0
Wiper,Non Food,H.k Materials,0,,NOS,2024-07-31,3.0
Plastic Broom,Non Food,H.k Materials,0,,NOS,2024-07-31,0.0
