Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Rooftop Continental,Kafir Lemon Leaves,Kg,0.1,0.01,0.09000000000000001,90.0
Rooftop Continental,Lemon Grass,Kg,2.0,0.042,1.958,97.89999999999999
Rooftop Continental,Maida,Kg,19.0,129.06700000000063,-110.06700000000063,-579.3000000000033
Rooftop Continental,Makai Atta,Kg,5.0,0.2,4.8,96.0
Rooftop Continental,Malai Paneer,Kg,21.3,334.8149999999996,-313.5149999999996,-1471.9014084507023
Rooftop Continental,Milk 3 Fat,PKT,46.0,28.649999999999977,17.350000000000023,37.71739130434788
Rooftop Continental,Peel Garlic,Kg,6.0,61.60499999999927,-55.60499999999927,-926.749999999988
Rooftop Continental,Rajma Chitra,Kg,3.0,11.799999999999983,-8.799999999999983,-293.3333333333328
Rooftop Continental,Refind Oil,LTR,23.0,35.698999999999586,-12.698999999999586,-55.213043478259074
Rooftop Continental,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Rooftop Continental,Tomato Ketchup,BTL,1.0,8.070000000000002,-7.070000000000002,-707.0000000000002
Rooftop Continental,Tomato Puree,TIN,10.0,32.48000000000002,-22.480000000000018,-224.8000000000002
Rooftop Continental,Veg Mayonnaise,BTL,8.0,0.7,7.3,91.25
Rooftop Continental,White Pepper Powder,Kg,1.0,0.8030000000000006,0.1969999999999994,19.69999999999994
Rooftop Continental,White Vinegar,BTL,2.0,0.7957142857142858,1.2042857142857142,60.21428571428571
Rooftop Indian,American Corn,Kg,2.0,41.359999999999985,-39.359999999999985,-1967.9999999999993
Rooftop Indian,Amul Cream,PKT,25.0,90.73400000000049,-65.73400000000049,-262.93600000000197
Rooftop Indian,Baby Corn,Kg,5.5,10.730000000000004,-5.230000000000004,-95.09090909090916
Rooftop Indian,Baby Potato,Kg,8.0,9.5,-1.5,-18.75
Rooftop Indian,Basmati Rice,Kg,52.0,113.0,-61.0,-117.3076923076923
Rooftop Indian,Besan,Kg,5.5,3.2499999999999996,2.2500000000000004,40.90909090909092
Rooftop Indian,Bhavnagri Chilly,Kg,1.0,3.2000000000000006,-2.2000000000000006,-220.00000000000006
Rooftop Indian,Bread Crumbs Penko,Kg,2.0,5.1000000000000005,-3.1000000000000005,-155.00000000000003
Rooftop Indian,Butter Amul,PKT,21.0,43.673999999999715,-22.673999999999715,-107.97142857142721
Rooftop Indian,Cabbage,Kg,4.5,7.349999999999999,-2.8499999999999988,-63.33333333333331
Rooftop Indian,Capsicum,Kg,10.5,73.45499999999993,-62.95499999999993,-599.5714285714279
Rooftop Indian,Carrots,Kg,5.0,32.40999999999992,-27.40999999999992,-548.1999999999983
Rooftop Indian,Cauliflower,Kg,14.0,29.609999999999978,-15.609999999999978,-111.49999999999984
Rooftop Indian,Chana Dal,Kg,0.5,11.799999999999983,-11.299999999999983,-2259.9999999999964
Rooftop Indian,Chat Masala,PKT,2.0,148.6800000000012,-146.6800000000012,-7334.00000000006
Rooftop Indian,Cheese Amul,Kg,4.5,13.455000000000004,-8.955000000000004,-199.00000000000009
Rooftop Indian,Cinnamon (dalchini),Kg,0.1,0.2980000000000002,-0.1980000000000002,-198.0000000000002
Rooftop Indian,Coconut Milk Powder,PKT,1.0,32.152000000000044,-31.152000000000044,-3115.2000000000044
Rooftop Indian,Coriander Leaves,Kg,11.0,19.017999999999716,-8.017999999999716,-72.8909090909065
Rooftop Indian,Corn Flour,Kg,4.0,12.114000000000003,-8.114000000000003,-202.85000000000005
Rooftop Indian,Curd Mother Dairy,Kg,36.0,19.5619999999999,16.4380000000001,45.66111111111139
Rooftop Indian,Fresh Beans,Kg,63.0,3.2200000000000006,59.78,94.88888888888889
Rooftop Indian,Fresh Mushroom,Kg,6.900000000000001,36.324999999999996,-29.424999999999994,-426.44927536231864
Rooftop Indian,Ghee Nandani,Kg,22.0,42.68600000000007,-20.68600000000007,-94.02727272727304
Rooftop Indian,Ginger,Kg,9.0,3.3980000000000024,5.601999999999998,62.24444444444441
Rooftop Indian,Green Chilly,Kg,8.0,18.64699999999974,-10.64699999999974,-133.08749999999674
Rooftop Indian,Green Peas,PKT,30.0,4.956000000000001,25.043999999999997,83.47999999999999
Rooftop Indian,Haldi Powder,Kg,3.0,7.240000000000002,-4.240000000000002,-141.3333333333334
Rooftop Indian,Imli,Kg,2.0,0.04,1.96,98.0
Rooftop Indian,Javantry,Kg,0.3,0.06600000000000002,0.23399999999999999,78.0
Rooftop Indian,Jeera Whole,Kg,2.0,8.984000000000002,-6.984000000000002,-349.2000000000001
Rooftop Indian,Kabuli Chana,Kg,4.0,6.5,-2.5,-62.5
Rooftop Indian,Kaju Tukda,Kg,12.0,6.024000000000002,5.975999999999998,49.79999999999998
Rooftop Indian,Kashmiri Chilli,Kg,12.0,1.9520000000000004,10.048,83.73333333333333
Rooftop Indian,Kashmiri Chilli Powder,PKT,3.0,0.05,2.95,98.33333333333334
Rooftop Indian,Kasuri Methi,PKT,6.0,34.87999999999952,-28.87999999999952,-481.33333333332536
Rooftop Indian,Kewra Water,BTL,1.0,0.7999999999999999,0.20000000000000007,20.000000000000007
Rooftop Indian,Kitchen King,PKT,4.0,11.616000000000009,-7.6160000000000085,-190.4000000000002
Rooftop Indian,Lady Finger,Kg,4.0,9.600000000000001,-5.600000000000001,-140.00000000000003
Rooftop Indian,Lemon,Kg,0.5,2.8870000000000013,-2.3870000000000013,-477.40000000000026
Rooftop Indian,Malai Paneer,Kg,52.0,334.8149999999996,-282.8149999999996,-543.8749999999993
Rooftop Indian,Methi Fresh,Kg,6.5,20.41999999999998,-13.91999999999998,-214.15384615384588
Rooftop Indian,Mint Leaves,Kg,3.5,1.4900000000000002,2.01,57.428571428571416
Rooftop Indian,Onion,Kg,124.0,27.16999999999994,96.83000000000006,78.0887096774194
Rooftop Indian,Peel Garlic,Kg,25.0,61.60499999999927,-36.60499999999927,-146.4199999999971
Rooftop Indian,Potato,Kg,16.0,22.454999999999977,-6.454999999999977,-40.34374999999986
Rooftop Indian,Rajma Chitra,Kg,1.0,11.799999999999983,-10.799999999999983,-1079.9999999999982
Rooftop Indian,Refind Oil,LTR,68.0,35.698999999999586,32.301000000000414,47.501470588235904
Rooftop Indian,Rose Water,BTL,1.0,1.1520000000000004,-0.15200000000000036,-15.200000000000035
Rooftop Indian,Salt Tata,PKT,12.0,29.94699999999923,-17.94699999999923,-149.5583333333269
Rooftop Indian,Sev,Kg,1.5,0.12,1.38,92.0
Rooftop Indian,Star Fool,Kg,0.2,0.2720000000000001,-0.07200000000000006,-36.00000000000003
Rooftop Indian,Sugar,Kg,9.0,30.33599999999956,-21.33599999999956,-237.06666666666177
Rooftop Indian,Tej Patta,Kg,0.1,0.08000000000000004,0.019999999999999962,19.99999999999996
Rooftop Pentry,Apple,Kg,2.0,0.2,1.8,90.0
Rooftop Pentry,Beetroots,Kg,1.5,3.5,-2.0,-133.33333333333331
Rooftop Pentry,Boondi,Kg,0.5,0.16,0.33999999999999997,68.0
Rooftop Pentry,Capsicum,Kg,4.5,73.45499999999993,-68.95499999999993,-1532.3333333333317
Rooftop Pentry,Carrots,Kg,12.0,32.40999999999992,-20.40999999999992,-170.08333333333266
Rooftop Pentry,Chat Masala,PKT,5.0,148.6800000000012,-143.6800000000012,-2873.600000000024
Rooftop Pentry,Coriander Leaves,Kg,4.0,19.017999999999716,-15.017999999999716,-375.4499999999929
Rooftop Pentry,Cucumber,Kg,28.0,5.390000000000001,22.61,80.75
Rooftop Pentry,Curd,Kg,2.0,0.02,1.98,99.0
Rooftop Pentry,Curd Mother Dairy,Kg,42.0,19.5619999999999,22.4380000000001,53.423809523809766
Rooftop Pentry,Frut Overload Ice Cream,LTR,4.0,0.12,3.88,97.0
Rooftop Pentry,Ginger,Kg,2.2,3.3980000000000024,-1.1980000000000022,-54.454545454545546
Rooftop Pentry,Green Chilly,Kg,4.5,18.64699999999974,-14.14699999999974,-314.37777777777194
Rooftop Pentry,Jeera Whole,Kg,1.0,8.984000000000002,-7.984000000000002,-798.4000000000002
Rooftop Pentry,Kaju Tukda,Kg,1.0,6.024000000000002,-5.024000000000002,-502.4000000000002
Rooftop Pentry,Kashmiri Chilli Powder,PKT,1.0,0.05,0.95,95.0
Rooftop Pentry,Lemon,Kg,46.0,2.8870000000000013,43.113,93.72391304347826
Rooftop Pentry,Malai Kulfi,PCS,30.0,134.0,-104.0,-346.6666666666667
Rooftop Pentry,Milk 3 Fat,PKT,42.0,28.649999999999977,13.350000000000023,31.785714285714338
Rooftop Pentry,Mint Leaves,Kg,3.5,1.4900000000000002,2.01,57.428571428571416
Rooftop Pentry,Onion,Kg,74.0,27.16999999999994,46.830000000000055,63.28378378378385
Rooftop Pentry,Pineapple Fruit,Kg,12.0,0.17,11.83,98.58333333333333
Rooftop Pentry,Pista,Kg,0.25,0.2870000000000001,-0.03700000000000009,-14.800000000000036
Rooftop Pentry,Sev,Kg,7.0,0.12,6.88,98.28571428571429
Rooftop Pentry,Strawberry Ice Cream,LTR,4.0,0.27,3.73,93.25
Rooftop Pentry,Sugar,Kg,15.0,30.33599999999956,-15.335999999999562,-102.23999999999707
Rooftop Pentry,Vanilla Md Ice Cream,LTR,16.0,1.92,14.08,88.0
Rooftop South Indian,Appam Rice,Kg,36.0,18.40000000000001,17.59999999999999,48.888888888888864
Rooftop South Indian,Beetroots,Kg,7.5,3.5,4.0,53.333333333333336
Rooftop South Indian,Capsicum,Kg,5.0,73.45499999999993,-68.45499999999993,-1369.0999999999985
Rooftop South Indian,Carrots,Kg,2.0,32.40999999999992,-30.40999999999992,-1520.499999999996
Rooftop South Indian,Chana Dal,Kg,2.0,11.799999999999983,-9.799999999999983,-489.99999999999915
Rooftop South Indian,Cheese Amul,Kg,2.0,13.455000000000004,-11.455000000000004,-572.7500000000002
Rooftop South Indian,Coconut Big,PCS,80.0,1200.5,-1120.5,-1400.625
Rooftop South Indian,Coconut Oil,BTL,1.0,0.43,0.5700000000000001,57.00000000000001
Rooftop South Indian,Coriander Leaves,Kg,2.5,19.017999999999716,-16.517999999999716,-660.7199999999887
Rooftop South Indian,Eno Regular,BTL,1.0,4.950000000000001,-3.950000000000001,-395.0000000000001
Rooftop South Indian,Ghee Nandani,Kg,3.0,42.68600000000007,-39.68600000000007,-1322.866666666669
Rooftop South Indian,Green Chilly,Kg,1.0,18.64699999999974,-17.64699999999974,-1764.699999999974
Rooftop South Indian,Haldi Powder,Kg,1.0,7.240000000000002,-6.240000000000002,-624.0000000000002
Rooftop South Indian,Hing Powder,BTL,1.0,0.5599999999999999,0.44000000000000006,44.00000000000001
Rooftop South Indian,Imli,Kg,2.0,0.04,1.96,98.0
Rooftop South Indian,Jeera Whole,Kg,1.0,8.984000000000002,-7.984000000000002,-798.4000000000002
Rooftop South Indian,Kashmiri Chilli Powder,PKT,1.0,0.05,0.95,95.0
Rooftop South Indian,Milk 3 Fat,PKT,1.0,28.649999999999977,-27.649999999999977,-2764.9999999999977
Rooftop South Indian,Onion,Kg,14.0,27.16999999999994,-13.169999999999941,-94.07142857142816
Rooftop South Indian,Rai,Kg,1.0,0.01,0.99,99.0
Rooftop South Indian,Refind Oil,LTR,23.0,35.698999999999586,-12.698999999999586,-55.213043478259074
Rooftop South Indian,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Rooftop South Indian,Sugar,Kg,1.0,30.33599999999956,-29.33599999999956,-2933.5999999999563
Rooftop South Indian,Toor Dal,Kg,1.0,41.39999999999999,-40.39999999999999,-4039.999999999999
Rooftop Tandoor,Amul Cream,PKT,3.0,90.73400000000049,-87.73400000000049,-2924.466666666683
Rooftop Tandoor,Atta,Kg,90.0,72.09999999999975,17.900000000000247,19.888888888889163
Rooftop Tandoor,Baby Potato,Kg,4.0,9.5,-5.5,-137.5
Rooftop Tandoor,Besan,Kg,2.0,3.2499999999999996,-1.2499999999999996,-62.49999999999998
Rooftop Tandoor,Bread Crumbs Penko,Kg,3.0,5.1000000000000005,-2.1000000000000005,-70.00000000000001
Rooftop Tandoor,Broccoli,Kg,10.0,17.32999999999999,-7.329999999999991,-73.29999999999991
Rooftop Tandoor,Butter Amul,PKT,24.5,43.673999999999715,-19.173999999999715,-78.26122448979476
Rooftop Tandoor,Cabbage,Kg,12.0,7.349999999999999,4.650000000000001,38.750000000000014
Rooftop Tandoor,Capsicum,Kg,8.0,73.45499999999993,-65.45499999999993,-818.1874999999991
Rooftop Tandoor,Cauliflower,Kg,7.0,29.609999999999978,-22.609999999999978,-322.99999999999966
Rooftop Tandoor,Chat Masala,PKT,8.0,148.6800000000012,-140.6800000000012,-1758.500000000015
Rooftop Tandoor,Cheese Amul,Kg,9.5,13.455000000000004,-3.9550000000000036,-41.63157894736846
Rooftop Tandoor,Curd Mother Dairy,Kg,46.0,19.5619999999999,26.4380000000001,57.473913043478476
Rooftop Tandoor,Fresh Beans,Kg,12.0,3.2200000000000006,8.78,73.16666666666666
Rooftop Tandoor,Fresh Mushroom,Kg,3.2,36.324999999999996,-33.12499999999999,-1035.1562499999995
Rooftop Tandoor,Green Chilly,Kg,2.5,18.64699999999974,-16.14699999999974,-645.8799999999895
Rooftop Tandoor,Green Peas,PKT,3.0,4.956000000000001,-1.9560000000000013,-65.20000000000005
Rooftop Tandoor,Kaju Tukda,Kg,1.0,6.024000000000002,-5.024000000000002,-502.4000000000002
Rooftop Tandoor,Kashmiri Chilli,Kg,1.0,1.9520000000000004,-0.9520000000000004,-95.20000000000005
Rooftop Tandoor,Kasuri Methi,PKT,1.0,34.87999999999952,-33.87999999999952,-3387.999999999952
Rooftop Tandoor,Kitchen King,PKT,1.0,11.616000000000009,-10.616000000000009,-1061.6000000000008
Rooftop Tandoor,Lemon,Kg,5.0,2.8870000000000013,2.1129999999999987,42.25999999999998
Rooftop Tandoor,Maida,Kg,40.0,129.06700000000063,-89.06700000000063,-222.66750000000158
Rooftop Tandoor,Malai Paneer,Kg,38.0,334.8149999999996,-296.8149999999996,-781.0921052631568
Rooftop Tandoor,Milk 3 Fat,PKT,1.0,28.649999999999977,-27.649999999999977,-2764.9999999999977
Rooftop Tandoor,Mint Leaves,Kg,4.0,1.4900000000000002,2.51,62.74999999999999
Rooftop Tandoor,Onion,Kg,10.0,27.16999999999994,-17.16999999999994,-171.69999999999942
Rooftop Tandoor,Peel Garlic,Kg,4.0,61.60499999999927,-57.60499999999927,-1440.1249999999818
Rooftop Tandoor,Refind Oil,LTR,11.0,35.698999999999586,-24.698999999999586,-224.53636363635988
Rooftop Tandoor,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Rooftop Tandoor,Sugar,Kg,2.0,30.33599999999956,-28.33599999999956,-1416.7999999999781
Staff Kitchen,Basmati Rice,Kg,10.0,113.0,-103.0,-1030.0
