Calculated_Service_Charge_Amount,Total_Sales,Service_Charge_Rate,Invoice_No_,Service_Feedback,Food_Feedback,Items_year,Items_month,Items_day,Items_hour,Staff_year,Staff_month,Staff_day,Staff_hour,Settled_By_year,Settled_By_month,Settled_By_day,Settled_By_hour,Area_year,Area_month,Area_day,Area_hour,Payment_Type_year,Payment_Type_month,Payment_Type_day,Payment_Type_hour,Record_Type_year,Record_Type_month,Record_Type_day,Record_Type_hour,modify_comment_year,modify_comment_month,modify_comment_day,modify_comment_hour,TABLE_year,TABLE_month,TABLE_day,TABLE_hour,Timestamp_year,Timestamp_month,Timestamp_day,Timestamp_hour
-0.058911714691301124,-0.05891171469130114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,8.0,6.0,15.0
-0.02781281566869625,-0.02781281566869626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,8.0,10.0,0.0
-0.08603403318314669,-0.0860340331831467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,8.0,24.0,23.0
-0.013894783811038655,-0.013894783811038666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,26.0,22.0
-0.059931350724829156,-0.05993135072482917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,23.0,23.0
-0.07481803681433838,-0.07481803681433839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,21.0,23.0
-0.08603403318314669,-0.0860340331831467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,9.0,12.0,22.0
-0.07481803681433838,-0.07481803681433839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,9.0,10.0,21.0
-0.08603403318314669,-0.0860340331831467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,8.0,8.0,23.0
0.18814609623254025,0.18814609623254025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,8.0,3.0,0.0
-0.07736712689815844,-0.07736712689815846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,9.0,24.0,22.0
-0.037499357987212524,-0.03749935798721253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,8.0,23.0
-0.08042603499874254,-0.08042603499874255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,23.0,23.0
-0.07481803681433838,-0.07481803681433839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,5.0,22.0
