Item_Name_k,Preparation_Time_Taken_Mins_k
Sundae Brownie,15.275
Burnt Garlic Noodles (CHICKEN),15.282499999999999
Matka Biryani,15.3475
Chicken Thai Curry Red (VEG),15.47
Masala Chaas,15.47
Masala Dal Khichdi,15.47
Lemon Coriander (Chicken),15.471052631578949
Veg Keema Masala,15.58
Kolkata Biryani (Chicken),15.621428571428574
Lemon Coriander (Veg),15.633333333333333
Futchi Rice (VEG),15.737999999999998
Jalapeno Popper,15.8175
Chicken Thai Curry Red (Veg),15.85
Hakka Noodles (PRAWNS),15.88
Barbecue Cottage Cheese,15.916666666666668
Coriander Noodles (Veg),16.03
B52,16.05
Manchow Soup (Sea Food),16.12
Thai Curry Green (Chicken),16.14
Futchi Noodles (VEG),16.3225
Futchi Rice (veg),16.414545454545454
Butter Pudina Paratha,16.5
Futchi Rice (CHICKEN),16.502857142857138
Sweet Corn Soup (Chicken),16.536458333333332
Schezwan Fried Rice (Egg),16.557
Chicken Dum Pukht Biryani,16.606410256410257
Manchow Soup (Chicken),16.637333333333341
Veg Dum Pukht Biryani,16.781249999999996
Dum Pukht Biryani (Chicken),16.836153846153845
Hong Kong Noodles (Chicken),16.9
Chicken Thai Curry Red (Chicken),16.95
Bruscheta Pomodoro,16.95
Spicy Lime Rice (Veg),16.98
Clear Soup (Veg),17.08
Chicken American Chopsuey (Veg),17.1525
Cheese Garlic Naan (BUTTER),17.2
Paneer Tawa Masala,17.2
Phalguni Subzi,17.2
Futchi Rice (Veg),17.281284403669726
Zafrani Rath Aloo,17.3
Fried Rice (veg),17.348333333333333
Chicken Pan Fried Noodles (Veg),17.49
Manchow Soup (veg),17.545714285714286
Szechwan Noodle (Veg),17.55
Burnt Garlic Soup (Chicken),17.555333333333333
Fried Rice (VEG),17.574545454545454
Tom Kha (veg),17.62
Kolkata Biryani (Mutton),17.695999999999998
Wonton & Noodle Soup (Chicken),17.7972972972973
1800,17.86625
Wonton (Prawns),17.87
Chicken Pan Fried Noodles (Chicken),17.986
Prawns,18.03
Dum Pukht Biryani (Veg),18.037090909090914
Khichiya Papad Fried,18.1
Chicken American Chopsuey (Chicken),18.1075
Pan Fried Noodles (Chicken),18.1125
Chicken Clear Soup (VEG),18.13
Manchow Soup (Veg),18.239767441860462
Coastal Prawns (250 Gms),18.37
Fried Rice (Chicken),18.375714285714295
Hakka Noodles (Chicken),18.3925
Hot Pot Noodles (Veg),18.403
Burnt Garlic Noodles (Veg),18.42038461538462
Thai Curry Green (Veg),18.43181818181818
Rotini & Three Green Alfredo,18.490000000000002
Shanghai Rice (Veg),18.536666666666669
Burnt Garlic Rice (Chicken),18.599444444444444
Schezwan Fried Rice (Veg),18.599565217391305
Fried Rice (Egg),18.67442307692308
Oriental Rice (Veg),18.733333333333334
1600,18.795499999999997
Steam Chicken With Star Fried Vegetables,18.8
Schezwan Fried Rice (Chicken),18.80263157894737
Schezwan Fried Rice (CHICKEN),18.851666666666667
Steamed Basmati Rice,18.9
Chinese Prawns (250 Gms),18.92
Lacchedar Paratha/naan,18.945438596491233
Hyderabadi Biryani (Mutton),19.009090909090908
Hakka Noodles (Veg),19.041410256410256
Dahi Ke Kabab,19.048000000000002
Fortune Rice (Veg),19.136666666666663
Fortune Noodles (Veg),19.168333333333337
Fortune Rice (Chicken),19.211785714285714
Hot Pot Rice (VEG),19.24
Fortune Noodles (Chicken),19.29
Fried Rice (Prawns),19.3175
Oriental Noodles (Chicken),19.38
Fried Rice (Veg),19.414761904761907
Hot Pot Noodles (Chicken),19.458333333333332
Subzi Chilli Milli Cheese Seekh,19.494999999999997
Hot Pot Rice (Chicken),19.514782608695651
Futchi Rice (Chicken),19.5511475409836
Chicken Hyderabadi Biryani,19.590000000000003
Tamatar Shorba,19.6
DAL MAKHANI,19.62
Futchi Noodles (Veg),19.717142857142857
Pan Fried Noodles (Veg),19.73
Hot Pot Rice (Veg),19.789722222222224
Burnt Garlic Noodles (VEG),19.843333333333334
Hakka Noodles (CHICKEN),20.105
Tom Kha (Chicken),20.121666666666663
Fortune Rice (VEG),20.131666666666668
Thai Curry Red (Veg),20.14
Spicy Lime Noodles (Chicken),20.15
Lamb Dum Pukht Biryani,20.266666666666666
Hot Pot Rice (CHICKEN),20.277142857142859
Missi / Khasta Roti,20.367142857142856
Burnt Garlic Rice (Veg),20.405121951219513
Burnt Garlic Noodles (Chicken),20.414285714285715
Malaysian Noodles (Prawns),20.43
Malaysian Noodles (Veg),20.445
Hot Pot Rice (Prawns),20.5
Chicken American Chopsuey (CHICKEN),20.560000000000002
Chicken Pan Fried Noodles (CHICKEN),20.582499999999996
Hot Pot Rice (veg),20.71
Paneer Lababdar,20.75
Wonton (VEG),20.78
Papdi Nu Khichu,20.85
Chinese Prawns (Regular),20.97
Szechwan Fried Rice (Veg),20.99666666666667
Phulka,21.016
Hakka Noodles (VEG),21.100999999999996
Spicy Lime Noodles (Veg),21.14
Hong Kong Noodles (veg),21.2
Hyderabadi Biryani (Chicken),21.212307692307689
Dragon Roll (Veg),21.321111111111115
Fried Rice (PRAWNS),21.37
Wonton (Veg),21.425625000000004
Schezwan Noodles (Chicken),21.52
1700,21.745714285714286
Thai Fried Rice (Mixed Seafood),21.79
Chinese Pompfret (400 GMS),21.92
Burnt Garlic Rice (veg),21.927999999999997
Shorba (Palak),21.98
Lamb Hyderabadi Biryani,22.11
Aloo Jeera,22.15
STUFFED PARATHA,22.15
Pan Grilled Paneer & Asian Veg,22.18
Negroni (THE BOTANIST),22.2
Dim Sum (Veg),22.322499999999998
BUFFET,22.350666666666669
Bhatkal Biryani (Chicken),22.367142857142856
Thai Curry Green (veg),22.43
Thai Curry Red (veg),22.43
Tiger Prawns (100 Gms),22.45
Dal Dhokli,22.47
SAUZA (GOLD),22.560000000000002
Dragon Roll (Fish),22.795
Tandoori Pompfret (100 Gms),22.875
CARAMEL Custard(egg Less),22.947333333333336
Tiger Prawns (250 Gms),22.990000000000002
Dahi Pakoda Kadhi,23.15
Masala Chai,23.22
Wonton (Chicken),23.258
Prawn Fragrance Rice,23.285
Schezwan Noodles (VEG),23.3525
Fortune Rice (veg),23.48
Dum Pukht Biryani (Mutton),23.560000000000002
Pizza Verdure,23.630000000000003
Hot Pot Noodles (CHICKEN),23.636
Thai Curry Green (VEG),23.909999999999997
Hong Kong Noodles (PRAWNS),24.068
Yanmien Noodles (Veg),24.13
Fortune Rice (Prawns),24.2
Yanmien Noodles (VEG),24.2
Hong Kong Noodles (Veg),24.299999999999997
Dim Sum (Chicken),24.34620689655172
American Chopsuey (Veg),24.358571428571427
Seafood Dum Biryani,24.3825
Chicken Tikka (Jamaican),24.434166666666666
Coconut Mango Panacotta,24.536
Fried Rice (CHICKEN),24.58666666666667
Funci Tongi Soup (Veg),24.67
Deewani Handi,24.674
KESAR PISTA KULFI,24.802270742358083
Butter Phulka,24.8425
Hakka Noodles (veg),25.003333333333334
CARAMEL CUSTARD(EGG LESS),25.01934497816595
Butter Laccha Paratha,25.376666666666665
Pizza Caprese,25.4
Creme Bruleé,25.40144230769231
Malwani Bombil Fry,25.407142857142858
Burnt Garlic Noodles (veg),25.446666666666665
TIRAMISU,25.457250996015929
Coastal Rawas (Moheli),25.52
Hong Kong Noodles (VEG),25.634999999999998
Shanghai Noodles (Veg),25.85
Risotto,25.91
KULFI RABDI FALOODA,26.10092727272729
Shanghai Rice (VEG),26.13
Large Pomfret (500 Gms),26.23
BAVARIAN CHOCOLATE ICE CREAM,26.323333333333334
HOT PUDDING WITH BUTTER SCOTCH SAUCE,26.431125
BUTTER SCOTCH ICE CREAM,26.512448979591834
Chicken Pan Fried Noodles (VEG),26.64
Indian Pompfret (400 GMS),26.78
SINGLE TALL CAKE SUNDAE,26.8793137254902
ROASTED ALMOND KULFI,26.900370370370357
Burnt Garlic Rice (VEG),26.924999999999997
1900,26.966666666666669
Lacchedar Paratha/Naan,26.98546099290779
1500,27.034999999999989
HOT FUDGE NUT SUNDAE,27.069479166666675
Chicken Tikka (Pahadi),27.286842105263148
VANILLA ICE CREAM,27.300479704797038
Tandoori Platter (Veg),27.318571428571428
Wonton & Noodle Soup (Sea Food),27.369999999999997
American Chopsuey (veg),27.442
Chinese Crab,27.52
Pizza Sicilia,27.53
APPLE PIE WITH HOT CUSTARD,27.630495049504958
Wonton (PRAWNS),27.65
FUTCHI NOODLES (FISH),27.8
Wonton (CHICKEN),27.835714285714285
Paneer Peshawari Tikka,28.05
CREAM CARAMEL,28.316525821596233
CHOCOLATE ICE CREAM,28.778400000000008
Schezwan Noodles (CHICKEN),28.863333333333333
Chicken Drums In Choice Of Sauce,28.875
BLUE BERRY CHEESE CAKE,28.876211180124219
Tandoori Chicken (Half),28.940744680851065
BROWNIE SUNDAE,28.985246690734062
Tiger Prawns (250 GMS),29.08
SAHI GULAB KULFI,29.106028368794316
MANGO KULFI,29.1111224489796
STRAWERRY ICE CREAM,29.352727272727272
Large Pomfret (400 Gms),29.39
Dehati Lamb,29.418333333333329
Chinese Prawns (150 Gms),29.63
Tandoori Platter (veg),29.65
Gujrati Kadhi,29.689999999999998
CHOCOLATE FONDUE CAKE,29.697471910112359
Tiger Prawns (200 Gms),30.05
Mateus Rose By Glass,30.08
BAVARIAN CHOCOLATE CHEESE CAKE (EGG LESS),30.138939393939395
MALAI KULFI,30.163964157706086
Tandoori Platter (Non-Veg),30.174
Sweet Corn Soup (veg),30.2
Crispy Paprika Potato,30.2
Hyderabadi Biryani (Veg),30.37
Seafood Clams,30.425
MILLENNIUM KULFI,30.565600961538451
Indian Prawns (250 Gms),30.6
Chocolate Bomb,30.67
GULAB JAMUN,30.699192618223748
Tandoori Prawns (100 Gms),30.856666666666666
SQUID (Chilly Fry),30.92
Shanghai Noodles (CHICKEN),31.07
BAVARIAN CHOCOLATE CHEESE CAKE (egg Less),31.131379310344819
Fresh Juices,31.15
Tandoori Chicken (Full),31.326491228070179
ANGOORI RABDI,31.380674342105255
HONEY NOODLES WITH VANILLA ICE CREAM,31.470208333333346
Dal Panchvati,31.634999999999998
CHOCOLATE MOUSSE,31.678312236286917
1650,31.88
Indian Prawns (100 Gms),31.9
Chilly And Cheese Brocolli,31.925
Mustard Soup (Veg),32.0
Mango Pull Me Up,32.162380952380957
Tandoori Crab (100 Gms),32.25
Double Black Bottle,32.27
DOODHI HALWA,32.74666666666667
Tiger Prawns (200 GMS),32.83
Thai Curry Green (CHICKEN),32.83
Crab (1000 Gms),33.0
MOONGDAL HALWA,33.0601923076923
Dragon Roll (Chicken),33.32
SPICY LIME RICE (CHICKEN),33.36
Garlic Naan,33.414963396778916
Rawas (Sukha In Mangalorian Masala),33.474999999999994
Tandoori Prawns (200 GMS),33.73
Dim Sum (Prawns),34.0
Harabhara Kabab,34.18
Oriental Rice (Mutton),34.35
Tandoori Prawns (Regular),34.62
Prawns Thai Fried Rice (Prawns),34.796666666666667
Tandoori Lobster (100 Gms),35.04
Hot Pot Noodles (FISH),35.15
GREEN TEA,35.3312098765432
Mutton Tikhalaal,35.346190476190479
1200,35.387499999999996
COINTREAU,35.72
Tandoori Pompfret (400 Gms),36.05
Methi Mutter Malai,36.27
GAJAR HALWA,36.864916201117339
Pdr,36.964444444444446
Wonton (veg),37.28
Thai Herb Rice (CHICKEN),37.621249999999996
EGG GASSI,38.251
Palak Methi Paneer,38.53
Crab (600 Gms),38.9
Mango Cheesecake,38.943333333333335
Lasagne Alla Verdure,39.1
Navratan Pulao,39.210736842105277
Dehati Murg,39.6803125
BLUE LABEL,39.785000000000004
Tandoori Pomfrate Regular (400gms),40.38
Tiger Prawns (300 GMS),40.8
Chinese Pompfret (600 GMS),40.85
Babycorn In Red Chilli Flakes,40.875714285714281
Sev Tamatar Subzi,41.3
Baby Kulcha,41.693780487804894
Surmai (INDIAN),41.8
FUTCHI RICE (FISH),41.9
OMELETTE SANDWICH,41.926666666666669
Tandoori Pompfret (500 Gms),42.055
Methi Lamb,42.193333333333328
Lamb In Burnt Chilly Sauce,42.6355
Chicken In Chilly Mustard Sauce,42.773636363636363
SPICY LIME NOODLES (CHICKEN),43.05
Cottage Cheese & Mushroom In Black Bean Sauce,43.344615384615381
EGG MASALA,43.564275862068961
PEAS PULAO,43.703333333333326
Three Treasure Vegetables In Choice Of Sauce,43.745192307692307
2200,44.375
Lasaniya Batata,44.47
COOKIES,44.509861111111114
FORTUNE NOODLES (PRAWNS),44.572
ALOO MUTTER,44.594561403508777
OMELETTE,44.67345454545454
Kahlua,44.788
Dragon Roll (Prawns),44.83
Perrier Sparkling Water 750 ML,44.964999999999996
Coastal Rawas (Mangalorian Curry),45.1
Butter Baby Kulcha,45.373481308411243
HOT POT RICE (FISH),45.625
Tandoori Malwani Bombil Fry,45.675
Bhatkal Biryani (MUTTON),45.767777777777781
White Lady (TANQUERAY),45.85
Paneer Sambal Sauce,45.883333333333326
Paneer Lawabdar,46.196402398401077
SHANGHAI RICE (CHICKEN),46.207272727272731
Dhabe Da Murg,46.460950413223145
Tandoori Platter (non-veg),46.85
BUTTER GARLIC KULCHA,47.019878048780477
MALAYSIAN NOODLES (Mixed Seafood),47.13
FORTUNE RICE (PRAWNS),47.161249999999995
Roomali Roti,47.5435382631126
Methi Roti,47.579895287958124
Roti,47.788180621379631
Pompfret (900 GMS),48.075
Chicken Jeera Masala,48.121111111111105
Tomato Rice,48.160000000000004
GARLIC ROTI,48.224834437086116
Murgh -ka-salan,48.302461538461536
Butter Roti,48.335204814947822
Chicken Clay Pot,48.450555555555567
VEG KADAI,48.500975609756104
Subzi Lahori,48.571284634760765
Kamikaze (REGULAR),48.625
Surmai (Mangalorian Curry),48.63
Chatpata Paneer,48.647230769230767
Murg Makhanwala,48.656779342723013
Kolkata Biryani (MUTTON),48.74136363636363
Chutney Stuffed Pomfret,48.85
Rawas (Moheli),48.92
HOT POT RICE (CHICKEN),48.934360902255641
THAI CURRY GREEN (CHICKEN),49.071111111111115
Bhatkal Biryani (CHICKEN),49.136571428571436
Stuffed Kulcha,49.18439560439564
Missi Roti,49.4223006535948
Kolkata Biryani (CHICKEN),49.458
Indian Surmai,49.665
Exotic Veg In Sambal Oelek Sauce,49.854285714285716
Tawa Chicken,50.030526315789473
Butter Roomali Roti,50.037466555183933
Shredded Chicken In Mixed Pepper,50.197500000000005
ORIENTAL RICE (VEG),50.296
Murgh Tikhalaal,50.484943820224707
Paratha Stuffed,50.496907216494847
Methi Chicken,50.551590909090912
FORTUNE NOODLES (CHICKEN),50.723684210526315
BUTTER GARLIC ROTI,50.744936061381061
SPICY LIME RICE (VEG),50.760000000000005
Reshmi Paneer,50.8477551020408
Butter Naan,50.858199289743105
Indian Prawns (REGULAR),50.88
Moong Dal Aur Methi Ki Subzi,50.890161290322581
HOT POT RICE (PRAWNS),50.896000000000008
HONG KONG NOODLES (PRAWNS),51.02
Coconut Rice,51.046875
Butter Milk,51.17209125475285
Butter Kulcha,51.221759941089879
Kumbh Makai Palak,51.2736
DAL PALAK KHICHDI,51.331562500000004
Jeera Rice,51.392665260196871
ASSORTED COOKIES,51.55675675675672
Sweet Corn Soup (SEA FOOD),51.583999999999996
GARLIC KULCHA,51.645555555555553
Pindi Chana,51.664296296296314
CHICKEN KADAI,51.737368421052629
Surmai (Chinese),51.779999999999994
Chicken Barbeque Sauce,51.868000000000009
Maratha Chicken,51.994393063583821
SZECHWAN FRIED RICE (Egg),52.123076923076923
Peshawari Kofta,52.198623326959847
Chettinad Chicken,52.21987096774194
YANMEIN NOODLES (CHICKEN),52.242222222222225
Methi Paneer,52.365299999999991
Curd Rice,52.368350515463924
Fresh Garden Salad,52.556
Paul John Bold,52.56
Kolkata Biryani (VEG),52.577272727272728
Hyderabadi Biryani (MUTTON),52.607179487179465
ORIENTAL RICE (CHICKEN),52.65
Hawain Salad,52.692692307692312
Chicken In Chilly Soya,53.022876712328781
Dum Aloo Amritsari,53.038172588832509
Fresh Lime,53.116
Oriental Noodles (VEG),53.19
Screw Driver (KETEL ONE),53.35
Fragrance Rice (PRAWNS),53.464285714285708
Multani Mutton,53.51839285714285
FUTCHI NOODLES (CHICKEN),53.662040816326531
SPICY LIME NOODLES (VEG),53.664
Avadhi Chicken,53.677954545454554
Chicken In Szechwan Style,53.81936842105263
Malabari Paratha (1pc),53.909023255813963
Amritsari Dal,53.914071581523409
Basmati Rice,53.987984913793177
Bukhara Kofta Curry,54.009525862068976
PUDINA PARATHA,54.052061855670104
LUCKNOWI CHICKEN,54.082941176470591
Roast Lamb In Honey And Ginger,54.108749999999993
Chinese Clams,54.11666666666666
Diwani Handi,54.160329079919364
SZECHWAN NOODLE (CHICKEN),54.168333333333337
PAN FRIED NOODLES (CHICKEN),54.26796875
GREEN PEPPER NOODLES (VEG),54.269230769230774
Bhatkal Biryani (VEG),54.294615384615376
JACK DANIELS - APPLE,54.3
Plain Curd,54.454607594936704
Methi Malai Mutter,54.547897435897411
Kalonji Ka Baigan,54.55469135802467
Lemon Rice,54.578055555555558
THAI FRIED RICE (PRAWNS),54.606666666666662
Murg Pudhina Masala,54.6442105263158
SHANGHAI NOODLES (CHICKEN),54.646153846153858
ALOO KULCHA,54.758406374501995
CORIANDER NOODLES (VEG),54.825312499999995
Dal Tadka,54.893628428927585
FRIED RICE (PRAWNS),54.93
Hyderabadi Biryani (CHICKEN),54.9476923076923
BUTTER GARLIC NAAN,54.992003765465348
Mirchi Ka Salan,55.090731707317076
WONTON (Mixed Seafood),55.1
Khasta Roti,55.203103448275876
Chicken Stew,55.259166666666658
Zafrani Chicken,55.272981651376192
Whisky Sour Jura,55.3
MASALA CHAAS,55.306282828282832
Lobster (1000 GMS),55.33
Chicken In Malaysian Curry,55.344482758620686
Phalguni Sabzi,55.345252466627919
Dal Palak Ghost,55.412307692307685
Multani Murgh,55.412518656716387
Subzi Noorani,55.41890625
FUTCHI NOODLES (VEG),55.452816901408447
Kori Roti,55.589629629629634
Paneer Kofta Hara Masala,55.617794117647065
"Tofu,Babycorn,Mushroom,Broccoli In Lemon & Paper Sauce",55.633809523809518
Dum Paneer Kalamiri,55.64453900709222
ALOO PARATHA,55.65274611398965
HOT POT NOODLES (CHICKEN),55.7469696969697
MUSHROOM DO PYAZA,55.763749999999995
Rajasthani Laal Maas,55.768100358422927
PANEER KADAI,56.052923076923086
CORIANDER NOODLES (CHICKEN),56.062
ALOO GOBI,56.077019230769238
HONG KONG NOODLES (VEG),56.0875
SZECHWAN NOODLE (VEG),56.156144578313267
Vegetables In Chilly Mustard Sauce/Green Garlic Sauce,56.17
Tawa Lamb,56.2359090909091
Grover La Resere,56.329
FRIED RICE (CHICKEN),56.674462809917337
BUTTER PUDINA PARATHA,56.708154897494282
BURNT GARLIC RICE (CHICKEN),56.730630630630621
JAGERMEISTER,56.77514285714286
Murg Tikka Nawabi,56.843934010152225
Butter Paratha,56.86755110062893
Spicy Malaysian Noodles,56.873846153846145
PANEER BUTTER MASALA,56.906987951807231
Paneer Khurchan,56.93017188459185
Chicken Mallipuram,56.943703703703704
MALAYSIAN NOODLES (CHICKEN),57.010555555555555
Dum Pukht Biryani (CHICKEN),57.040379746835434
HOUSEWINE-INDIAN WHITE,57.067339901477816
FUTCHI RICE (CHICKEN),57.1094827586207
Rawas (Mallipuram),57.1425
FRIED RICE (Mixed Seafood),57.226216216216208
FORTUNE RICE (VEG),57.247563739376794
FUTCHI RICE (MUTTON),57.265
SZECHWAN FRIED RICE (VEG),57.323986928104553
Ashanti,57.496666666666663
Naan,57.568986666666618
Avadhi Lamb,57.576265060240956
Chicken & Mushroom In Oyster Sauce,57.6209090909091
HOT POT RICE (VEG),57.636916996047461
BURNT GARLIC NOODLES (VEG),57.66555194805197
Raita,57.698315602836864
Dum Pukht Biryani (VEG),57.827968980797621
ONION KULCHA,57.843483606557371
Dum Pukht Biryani (MUTTON),57.90288235294117
SHANGHAI RICE (VEG),57.977777777777774
DAL KHICHDI,58.022425742574228
Neer Dosa(4pc),58.02933110367885
BURNT GARLIC NOODLES (CHICKEN),58.062549019607843
LASSI,58.147649572649584
FRIED RICE (VEG),58.290820980615763
Chicken Korma,58.345625
EGG BIRYANI,58.366944444444457
Veg Barbeque Sauce,58.394545454545444
BURNT GARLIC RICE (VEG),58.479590517241377
FRUIT OVERLOAD ICE CREAM,58.5071875
PALAK PANEER,58.568638743455523
Chicken Hunan,58.608333333333327
Green Salad,58.686862003780732
FORTUNE RICE (CHICKEN),58.708541666666655
PAN FRIED NOODLES (VEG),58.835206611570257
JASMINE TEA,58.913333333333327
LAMBORGHINI,58.985
FUTCHI RICE (VEG),59.042886334610486
Cheese & Garlic Naan,59.052459893048152
Blue Lagoon (CIROC),59.12
Malai Kofta,59.146120689655163
VEG KOLHAPURI,59.234845360824764
VEG MAKHANWALA,59.241063829787237
FRIED RICE (Egg),59.276271551724165
Dhabe Da Lamb,59.32
Ghee Rice,59.35
Crab (1000 GMS),59.4
Roast Lamb In Hongkong Style,59.432068965517232
Subzi Sunheri,59.539831932773133
Vegetables In Chilly Mustard Sauce/green Garlic Sauce,59.61
Indian Rawas,59.629166666666663
Appam (2pc),59.697542735042745
Reveilo Chardonnay,59.741666666666667
SZECHWAN FRIED RICE (CHICKEN),59.822499999999991
Nalli Kashmiri Rogan,59.83312500000001
Mutton Korma,59.972380952380952
Chinese Squid (Hoisin Ginger Garlic Sauce),59.98
Manchow Soup (Veg)[Online],60.12
Fragrance Rice (VEG),60.269024390243892
Indian Prawns REG,60.312352941176471
Maratha Lamb,60.369166666666658
Reveilo Cabernet Sauvignon,60.379999999999995
VEG PULAO,60.386125000000014
YANMEIN NOODLES (VEG),60.3988
Paratha Plain,60.477562076749464
EGG BHURJEE,60.590181818181804
GREEN PEPPER NOODLES (CHICKEN),60.660000000000004
Exotic Hot Pot Vegtable,60.70488013698629
CHOCOLATE PASTRY,60.725487804878043
Karele Kaju Masala,60.7592207792208
FORTUNE NOODLES (VEG),60.777462686567169
Hyderabadi Biryani (VEG),61.2085123966942
Murgh Bharta Masala,61.242500000000007
