Reason,Total_Sales,Invoice_No_,Percentage,Total_Discount,Items_year,Items_month,Items_day,Items_hour,Staff_year,Staff_month,Staff_day,Staff_hour,Settled_By_year,Settled_By_month,Settled_By_day,Settled_By_hour,Area_year,Area_month,Area_day,Area_hour,Record_Type_year,Record_Type_month,Record_Type_day,Record_Type_hour,Table_No__year,Table_No__month,Table_No__day,Table_No__hour,Timestamp_year,Timestamp_month,Timestamp_day,Timestamp_hour
,4.907839573941553,-1.0664456896464583,5.5135434184457495,10.820027666731901,,,,,,,,,,,,,,,,,,,,,,,,,2023,7,19,0
,-0.3478035404597702,-0.9522277869458092,5.5135434184457495,0.39821545278276393,,,,,,,,,,,,,,,,,,,,,,,,,2023,7,29,23
,1.1181198685431424,0.4737417969414738,5.5135434184457495,3.3051058477560153,,,,,,,,,,,,,,,,,,,,,,,,,2023,11,24,21
,-0.6575343691620814,-1.1054279089982155,5.5135434184457495,-0.21597323228247683,,,,,,,,,,,,,,,,,,,,,,,,,2023,7,15,23
,-0.743932968747463,-1.1621470381550225,5.5135434184457495,-0.3872995496954124,,,,,,,,,,,,,,,,,,,,,,,,,2023,7,11,13
,-0.7512686989009388,-0.5633801489120299,5.5135434184457495,-0.40184612381537865,,,,,,,,,,,,,,,,,,,,,,,,,2023,8,29,15
,-0.6595720719824913,0.16734155283666116,5.5135434184457495,-0.2200139473158008,,,,,,,,,,,,,,,,,,,,,,,,,2023,10,30,23
,1.980720226479079,0.3507528948866794,-0.908996934060197,0.13844596472043372,,,,,,,,,,,,,,,,,,,,,,,,,2023,11,14,15
,-0.30032506474421855,1.6788771082010514,-0.195381339337314,-0.22429710525112417,,,,,,,,,,,,,,,,,,,,,,,,,2024,2,28,22
,0.7219904402554496,1.4196453495118653,0.518234255385569,0.47345356670325595,,,,,,,,,,,,,,,,,,,,,,,,,2024,2,7,23
,-0.4684355474280388,1.8394838519302916,0.518234255385569,-0.23472215003709995,,,,,,,,,,,,,,,,,,,,,,,,,2024,3,14,0
