Sub_Total,Price,Invoice_No_,Name,Tax,Final_Total,Phone,Qty_,Staff_year,Staff_month,Staff_day,Staff_hour,Area_year,Area_month,Area_day,Area_hour,Settled_By_BSR_year,Settled_By_BSR_month,Settled_By_BSR_day,Settled_By_BSR_hour,Table_No__year,Table_No__month,Table_No__day,Table_No__hour,Date_year,Date_month,Date_day,Date_hour,Item_Name_year,Item_Name_month,Item_Name_day,Item_Name_hour,Timestamp_year,Timestamp_month,Timestamp_day,Timestamp_hour
3.2947795876072012,2.907533419064318,-1.7306656020515432,,3.223434730194676,3.2936249380812637,,2.1974010622941433,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,9,19
-0.25399109489370875,-0.6145534245679317,-1.7306656020515432,,-0.38777237966923245,-0.2499302575119068,,1.1832159566199232,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,9,19
-0.22202018784415098,-0.3536581028173947,-1.7306656020515432,,-0.35480124315437694,-0.2179858849529055,,0.1690308509457034,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,9,19
-0.4713932628307014,-0.7189115532681465,0.49050950218564504,,-0.6307175960944834,-0.48809420266943526,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.20283764361441634,0.376848798084109,0.49050950218564504,,-0.4398320689032148,-0.3004007446133745,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.5417292583397284,-1.0058964071937373,0.6015682573975044,,-0.6810419623539996,-0.5372674563674917,,0.1690308509457034,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.21562600643423943,0.32466973373400154,0.6015682573975044,,-0.01728092462072476,-0.1961356098141978,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.4458165371910552,-0.6145534245679317,0.6015682573975044,,-0.48581812772656585,-0.4369345603224053,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.30514454617300113,-0.6841255103680749,0.6015682573975044,,-0.1986221754524299,-0.28973910757908855,,1.1832159566199232,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.23054576305736638,-0.3710511242674305,0.6015682573975044,,-0.04678141518664814,-0.21170241065513243,,0.1690308509457034,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.20283764361441634,0.376848798084109,0.6015682573975044,,0.009616581483499401,-0.182717351797663,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
-0.20283764361441634,0.376848798084109,0.6015682573975044,,0.009616581483499401,-0.182717351797663,,-0.8451542547285165,,,,,,,,,,,,,,,,,2024,10,9,0,,,,,2024,10,10,0
