Entry_Count,Total_Amount,Total_Qty,Vendor_year,Vendor_month,Vendor_day,Vendor_hour,Invoice_Date_year,Invoice_Date_month,Invoice_Date_day,Invoice_Date_hour,Raw_Material_year,Raw_Material_month,Raw_Material_day,Raw_Material_hour
-0.29138575870717953,-0.5879777342331975,-0.39789771582002076,,,,,2024,10,1,0,,,,
-0.29138575870717953,-0.1701268714041873,-0.41610793628757425,,,,,2024,10,2,0,,,,
-0.29138575870717953,-0.5222483850241398,-0.37766413752273914,,,,,2024,10,2,0,,,,
-0.29138575870717953,-0.43285647009982114,-0.37564077969301096,,,,,2024,10,4,0,,,,
-0.29138575870717953,0.3322331546936116,1.2511389154084314,,,,,2024,10,4,0,,,,
-0.29138575870717953,0.20682155640272934,-0.41610793628757425,,,,,2024,10,4,0,,,,
-0.29138575870717953,-0.6830505429105848,-0.41610793628757425,,,,,2024,10,4,0,,,,
-0.29138575870717953,-0.02458331244127361,-0.4080145049686616,,,,,2024,10,4,0,,,,
-0.29138575870717953,0.14655948056181067,-0.32708019177953507,,,,,2024,10,4,0,,,,
-0.29138575870717953,-0.7310564426007716,-0.44241158807404035,,,,,2024,10,7,0,,,,
-0.29138575870717953,-0.1701268714041873,-0.41610793628757425,,,,,2024,10,8,0,,,,
-0.29138575870717953,-0.7147414791363805,-0.4403882302443122,,,,,2024,10,9,0,,,,
-0.29138575870717953,-0.4893837104196109,-0.36754734837409836,,,,,2024,10,11,0,,,,
1.942571724714528,0.3392755849660106,-0.38778092667138,,,,,2024,10,12,0,,,,
-0.29138575870717953,-0.3649674422738943,0.7655330362736725,,,,,2024,10,13,0,,,,
-0.29138575870717953,0.5575909234103812,-0.37564077969301096,,,,,2024,10,13,0,,,,
-0.29138575870717953,4.312966866167175,-0.35136048573627304,,,,,2024,10,15,0,,,,
-0.29138575870717953,-0.5551130596286686,-0.38778092667138,,,,,2024,10,15,0,,,,
-0.29138575870717953,0.4097004745591904,3.9219712506496056,,,,,2024,10,17,0,,,,
4.176529208136236,-0.10674499895259586,1.5748761681649375,,,,,2024,10,17,0,,,,
-0.29138575870717953,-0.1701268714041873,-0.41610793628757425,,,,,2024,10,17,0,,,,
-0.29138575870717953,-0.7170889558938468,-0.38778092667138,,,,,2024,10,17,0,,,,
-0.29138575870717953,0.13504510706643819,-0.4059911471389334,,,,,2024,10,17,0,,,,
