Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Total_Sales,Total_Discount,Percentage,Reason,Area,Table_No_,Items
Detail,2023-09-18 22:59:38+00:00,5810,Multiple,,14700.0,2205.3,15.002040816326533,,Garden Table,G 2,"BUTTER GARLIC NAAN,Blue Sea,Butter Naan,Butter Roti,CHICKEN GHEE ROAST,Dim Sum (VEG),Kung Pao Patato,Lemon Ice Tea,Paneer Ke Shikanje,Paneer Lawabdar,Shirely Temple,Subzi Kofta Masala,Virgin Mojito,WONTON (VEG)"
Detail,2023-09-26 23:21:53+00:00,6179,TB,,5510.0,826.7999999999998,15.005444646098,,Dine in,12,"Blue Sea,Butter Naan,Butter Roomali Roti,Butter Roti,Multani Murgh,PANEER MALAI TIKKA,Paneer Khurchan,Prawns (100 GMS),Virgin Colada"
Detail,2023-07-12 23:41:11+00:00,1587,SM,,22310.0,3346.8,15.001344688480502,,Personal Dine In Room,PDR 3,"Basmati Rice,Butter Naan,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Chicken Malai),GULAB JAMUN,Lemon Fizz,Mutton Kebabs (Gilafi Sheekh),Neer Dosa(4pc),PEPSI,Prawns  REG,Prawns (150 GMS),Rawas (Koliwada),Rawas (Mallipuram)"
Detail,2023-09-01 23:21:13+00:00,4775,Multiple,,39305.0,5896.6,15.002162574736039,,Garden Table,G 3,"ANGOORI RABDI,BUTTER GARLIC NAAN,Basmati Rice,Butter Naan,Chicken Kebabs (Chicken Malai),Chicken Kebabs (Murg Lalwari),Cottage Cheese With Three Peppers,Crispy Corn,FRESH LIME SODA,GULAB JAMUN,Lemon Fizz,MALAI KULFI,Murg Makhanwala,Neer Dosa(4pc),PEPSI,Prawns (100 GMS),Rawas (Gassi),Rawas (Tawa Fry),Roast Lamb In Black Peper,Spicy Crab Soup,THUMPS UP"
Detail,2023-09-18 22:58:55+00:00,5809,MK,,5720.0,858.5999999999997,15.010489510489505,,Dine in,15,"Amritsari Dal,BUTTER GARLIC NAAN,Basil Garlic Cheesy Potato,Butter Naan,Butter Roomali Roti,Butter Roti,CHICKEN GHEE ROAST,DIET COKE,Manchow Soup (VEG),PANEER MALAI TIKKA,Subzi Kofta Masala"
Detail,2023-08-23 21:38:44+00:00,4215,Multiple,,3285.0,493.0,15.007610350076103,,Dine in,4,"Chicken Kebabs (Patra Chicken),DIET COKE,Dum Pukht Biryani (CHICKEN),Murg Makhanwala,Roti"
Detail,2023-09-17 15:46:48+00:00,5716,SM,,4805.0,721.0,15.005202913631633,,Dine in,1,"Chicken Kebabs (Patra Chicken),Crispy Corn,FUTCHI NOODLES (CHICKEN),Prawns (150 GMS),Virgin Mojito"
Detail,2023-12-13 16:19:20+00:00,11155,SK,,20491.0,3074.7000000000016,15.005124200868682,,Garden Table,G 4,"Amritsari Dal,BUTTER GARLIC NAAN,Butter Naan,Butter Paratha,CLEAR SOUP (VEG),CREAM CARAMEL,Chilli Chicken,Coastal Rawas (Koliwada),EGG BIRYANI,FRESH LIME SODA,FRESH LIME WATER,GAJAR HALWA,Kumbh Makai Palak,MALAI KULFI,Manchow Soup (CHICKEN),Murg Tikka Nawabi,Mushroom Galauti,Neer Dosa(4pc),ROASTED PAPAD,Roomali Roti,Sour & Pepper Soup (CHICKEN),Subzi Kurkure Kebab,Sweet Corn Soup (CHICKEN),Tom Kha Soup (VEG),Tom Yum Soup (SEA FOOD)"
Detail,2023-10-12 01:03:27+00:00,7099,Multiple,,12210.0,1832.1999999999994,15.005733005733001,,Personal Dine In Room,PDR 6,"CHICKEN TIKKA (Pahadi),DAL KHICHDI,DIET COKE,Exotic Stir Fried Vegetable,FRESH LIME SODA,Juices Natural,Murg Makhanwala,PANEER CHILLY DRY,ROASTED PAPAD,Raita,Rawas (Tawa Fry),Roti,Soda,Stir Fried Chicken Chilly & Basil,Subzi Kurkure Kebab,Virgin Mojito"
Detail,2023-11-12 22:28:31+00:00,9135,SK,,17435.0,2616.200000000001,15.00544880986522,,Personal Dine In Room,PDR 3,"BUTTER GARLIC ROTI,Butter Paratha,Chicken Kebabs (Chicken Malai),Chicken Kebabs (Murg Chatpata),Chicken Pepper Chilly Garlic,Coastal Rawas (Tawa Fry),DAL KHICHDI,DAL PALAK KHICHDI,DIET COKE,Dum Pukht Biryani (CHICKEN),Exotic Stir Fried Vegetable,FRESH LIME SODA,FRESH LIME WATER,Manchow Soup (CHICKEN),Mushroom Galauti,PALAK PANEER,PANEER CHILLY DRY,Phalguni Sabzi,Soda"
Detail,2024-03-18 22:15:14+00:00,17211,TD,,12035.0,3009.3000000000006,25.004570004154555,,Dine in,20,"Basmati Rice,Chicken Kebabs (Chicken Malai),Chicken Kebabs (Murg Lalwari),Coastal Rawas (Gassi),Coastal Rawas (Tawa Fry),Coastal Surmai (Tawa Fry),HAKKA NOODLES (CHICKEN),Kung Pao Chicken,Manchow Soup (CHICKEN),Murgh -ka-salan,Neer Dosa(4pc),Virgin Mojito"
Detail,2024-02-25 23:10:37+00:00,15943,SK,,16105.0,3221.0,20.0,,Personal Dine In Room,PDR 1,"Chilli Chicken,Crispy Corn,Crispy Spinach Paneer,Dal Tadka,Dum Pukht Biryani (VEG),FRESH LIME SODA,Ginger Bliss,Jeera Rice,Khasta Roti,Kori Roti,MALWANI BOMBIL FRY,Murg Makhanwala,Mushroom Galauti,Paneer Ke Shikanje,Pepper Blast Paneer,Phalguni Sabzi,Pompfret (700 GMS),Roti,Tandoori Chicken (HALF)"
Detail,2024-01-24 20:51:42+00:00,13873,SK,,1810.0,362.0,20.0,,Dine in,3,"Avadhi Chicken,BUTTER GARLIC NAAN,Neer Dosa(4pc),Tandoori Chicken (HALF)"
Detail,2024-02-11 15:13:05+00:00,4302,TD,,8700.0,1740.0,20.0,,Garden Table,G 4,"Negroni (HENDRICKS),TANQUERAY"
Detail,2024-03-13 16:17:41+00:00,16864,TD,,17710.0,1771.0,10.0,,Dine in,10,"BROWNIE SUNDAE,BUTTER GARLIC NAAN,Butter Roti,CHOCOLATE ICE CREAM,CREAM CARAMEL,Chicken Kebabs (Chicken Angare),Crispy Spinach Chicken,Dim Sum (VEG),Diwani Handi,Dragon Roll (PRAWNS),Dum Pukht Biryani (CHICKEN),MALAI KULFI,Multani Murgh,Murg Makhanwala,Roast Lamb In Black Peper,Tandoori Chicken (HALF),Tandoori Platter (NON-VEG),Tandoori Platter (VEG),VANILLA ICE CREAM"
Detail,2024-02-20 22:34:10+00:00,15613,TD,,11325.0,3397.5,30.0,,Dine in,11,"Amritsari Dal,BURNT GARLIC NOODLES (VEG),BUTTER PUDINA PARATHA,Butter Naan,DIET COKE,Dal Tadka,Diwani Handi,Juices Fresh,ONION KULCHA,PANEER MALAI TIKKA,Paneer Lawabdar,Pepper Blast Paneer,ROASTED PAPAD,Roomali Roti,Roti,Sour & Pepper Soup (VEG),Subzi Sunheri,TANDOORI ALOO,THUMPS UP"
Detail,2024-02-11 01:40:05+00:00,4297,TB,,6070.0,910.5,15.0,,PARTY,CRS 2,"Gimlet (HENDRICKS),Pina Colada,Sangria (IMPORTED)"
Detail,2024-02-10 01:03:09+00:00,14876,SK,,14790.0,1479.0,10.0,,Personal Dine In Room,PDR 1,"Amritsari Dal,Butter Paratha,Chicken Kebabs (Chicken Angare),Chilly Crispy Patato,Coastal Rawas (Tawa Fry),Cottage Cheese With Three Peppers,Dal Tadka,Dingri Lasooni,Dragon Roll (VEG),GULAB JAMUN,Jeera Rice,Kung Pao Patato,MALAI KULFI,Methi Paneer,Murg Tikka Nawabi,Paneer Ke Shikanje,Rajasthani Laal Maas,Roti,Tonic Water"
