Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,f0_
Details,,2024-10-06 22:57:52+00:00,11047,SK,,,4.0
Details,,2024-10-05 21:06:09+00:00,10933,SK,,,2.0
Details,,2024-10-06 00:55:43+00:00,10969,SK,,,2.0
Details,,2024-10-09 23:38:32+00:00,11183,SK,,,16.0
Details,,2024-10-08 23:41:44+00:00,11141,SK,,,4.0
Details,,2024-10-12 23:56:44+00:00,11403,SK,,,2.0
Details,,2024-10-16 23:27:56+00:00,11678,SK,,,3.0
Details,,2024-10-15 20:58:32+00:00,11581,SK,,,2.0
Details,,2024-10-05 22:03:07+00:00,10944,SK,,,5.0
Details,,2024-10-16 22:04:18+00:00,11665,SK,,,4.0
Details,,2024-10-12 23:35:18+00:00,11401,SK,,,3.0
Details,,2024-10-16 22:17:35+00:00,11669,SK,,,1.0
Details,,2024-10-05 20:30:00+00:00,10926,SK,,,3.0
Details,,2024-10-11 21:37:31+00:00,11272,SK,,,2.0
Details,,2024-10-08 20:23:05+00:00,11123,SK,,,3.0
Details,,2024-10-12 22:05:17+00:00,11377,SK,,,2.0
Details,,2024-10-13 20:50:51+00:00,11477,SK,,,4.0
Details,,2024-10-05 20:00:13+00:00,10921,SK,,,2.0
Details,,2024-10-16 23:02:19+00:00,11674,SK,,,10.0
Details,,2024-10-06 22:47:02+00:00,11046,SK,,,3.0
Details,,2024-10-02 22:40:11+00:00,10789,SK,,,10.0
Details,,2024-10-10 23:13:09+00:00,11224,SK,,,8.0
Details,,2024-10-05 23:20:55+00:00,10959,SK,,,6.0
Details,,2024-10-16 20:28:14+00:00,11653,SK,,,3.0
Details,,2024-10-02 21:40:11+00:00,10779,SK,,,4.0
Details,,2024-10-10 21:28:18+00:00,11209,SK,,,2.0
Details,,2024-10-11 22:17:28+00:00,11279,SK,,,8.0
Details,,2024-10-01 22:56:13+00:00,10711,SK,,,4.0
Details,,2024-10-11 20:53:23+00:00,11258,SK,,,2.0
Details,,2024-10-13 00:59:16+00:00,11413,SK,,,2.0
