Waived_Off,Order_Total,Settled_Total,Duration__In_Minutes_,Invoice_No_,First_Print_Date_year,First_Print_Date_month,First_Print_Date_day,First_Print_Date_hour,Payment_Type_year,Payment_Type_month,Payment_Type_day,Payment_Type_hour,Order_Type_year,Order_Type_month,Order_Type_day,Order_Type_hour,Status_year,Status_month,Status_day,Status_hour,Settled_By_year,Settled_By_month,Settled_By_day,Settled_By_hour,Settlement_Counter_year,Settlement_Counter_month,Settlement_Counter_day,Settlement_Counter_hour,Last_Settlement_Date_year,Last_Settlement_Date_month,Last_Settlement_Date_day,Last_Settlement_Date_hour,Biller_year,Biller_month,Biller_day,Biller_hour,Date_year,Date_month,Date_day,Date_hour
,1.2215289003281165,,,-0.9355246370995877,2024,7,12,18,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,12.0,18.0,,,,,2024,7,12,18
,-0.5291571671797479,,,-1.3013324065109133,2024,4,7,22,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,7.0,22.0,,,,,2024,4,7,22
,-0.7023142990976741,,,0.032151227921309644,2024,6,26,20,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,26.0,20.0,,,,,2024,6,26,20
,-0.20907883242236913,,,1.4225065390041995,2024,9,18,19,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,18.0,19.0,,,,,2024,9,18,19
,8.48194747380887,,,-0.2542076665709937,2024,6,9,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,9.0,0.0,,,,,2024,6,9,0
,-0.5473349180412618,,,-1.0638431437134042,2024,6,15,21,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,15.0,21.0,,,,,2024,6,15,21
,-0.6029925675863095,,,-1.0395512215259335,2024,6,20,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,20.0,0.0,,,,,2024,6,20,0
,-0.6532156318222448,,,-0.639448973732296,2024,9,18,19,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,18.0,19.0,,,,,2024,9,18,19
,-0.6796389603941362,,,-1.0864203419817595,2024,6,9,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,9.0,0.0,,,,,2024,6,9,0
,-0.7574097501624688,,,-1.2950450854741562,2024,4,8,0,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,8.0,0.0,,,,,2024,4,8,0
,-0.699503306696409,,,-1.2278850653087956,2024,5,9,21,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,9.0,21.0,,,,,2024,5,9,21
,-0.6380362728554136,,,-0.7177546993719078,2024,8,30,21,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,30.0,21.0,,,,,2024,8,30,21
,-0.7028764975779271,,,-0.7277572555667489,2024,8,28,23,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,28.0,23.0,,,,,2024,8,28,23
,-0.6775775659665418,,,1.3121926335410967,2024,9,10,23,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,10.0,23.0,,,,,2024,9,10,23
,-0.6176097280728877,,,1.4850939620519186,2024,9,22,13,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,22.0,13.0,,,,,2024,9,22,13
,0.4991038532030022,,,1.3396282162469462,2024,9,13,12,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,13.0,12.0,,,,,2024,9,13,12
,-0.35206464590005065,,,0.4491149275862503,2024,7,23,14,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,23.0,14.0,,,,,2024,7,23,14
,-0.5923107964615024,,,0.08873711725212408,2024,6,30,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,30.0,0.0,,,,,2024,6,30,0
,-0.6983789097359031,,,0.9332386474165516,2024,8,19,16,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,19.0,16.0,,,,,2024,8,19,16
,-0.3764265800443476,,,-1.329339563856468,2024,4,6,22,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,6.0,22.0,,,,,2024,4,6,22
,0.024420936376046504,,,1.7854564352169993,2024,10,10,0,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,10.0,0.0,,,,,2024,10,10,0
,-0.48174509534507765,,,0.6585970330382048,2024,8,4,20,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,4.0,21.0,,,,,2024,8,4,20
,0.49966605168325523,,,0.8623633920931073,2024,8,15,21,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,15.0,21.0,,,,,2024,8,15,21
,1.5905185028675068,,,-1.384782303907872,2024,4,3,15,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,3.0,15.0,,,,,2024,4,3,15
,0.8399835317297423,,,0.902373616872471,2024,8,18,0,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,18.0,0.0,,,,,2024,8,18,0
,-0.5405885362782257,,,-0.5888646181183861,2024,5,19,21,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,19.0,21.0,,,,,2024,5,19,21
