Invoice_No_,Date,Change_Log
2461,2024-05-12 20:48:56+00:00,"Order (Bill No.: F2461, Amount: 1681) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-05-12 20:48:56Order (Bill No.: F2461) total amount changed from 1681 to 1601 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-12 20:50:58"
699,2024-05-12 14:46:07+00:00,Order (Bill No.: B699) total amount changed from 398 to 380 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-12 14:49:40
2417,2024-05-12 14:46:06+00:00,"Order (Bill No.: F2417, Amount: 6885) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-05-12 14:46:06Order (Bill No.: F2417) total amount changed from 6885 to 6557 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-12 14:49:18"
2377,2024-05-11 23:29:24+00:00,Order (Bill No.: F2377) total amount changed from 11075 to 10547 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-11 23:43:57
2373,2024-05-11 23:00:35+00:00,"Order (Bill No.: F2373, Amount: 3749) is created by vijay (vijay shetty), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-05-11 23:00:35Order (Bill No.: F2373) total amount changed from 3749 to 3570 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-11 23:02:54"
667,2024-05-10 23:43:28+00:00,Order (Bill No.: B667) total amount changed from 2144 to 2046 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:45:31
2302,2024-05-10 23:43:27+00:00,"Order (Bill No.: F2302, Amount: 16786) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-05-10 23:43:27Order (Bill No.: F2302) total amount changed from 16786 to 15986 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:45:12"
2299,2024-05-10 23:28:35+00:00,Order (Bill No.: F2299) total amount changed from 2370 to 2252 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:32:16
665,2024-05-10 23:28:34+00:00,"Order (Bill No.: B665, Amount: 536) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-05-10 23:28:34Order (Bill No.: B665) total amount changed from 536 to 512 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:31:59"
2244,2024-05-10 15:09:07+00:00,"Order (Bill No.: F2244, Amount: 11488) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-05-10 15:09:07Order (Bill No.: F2244) total amount changed from 11488 to 9847 by RAM (RAM RATHORE. ) (Order modify comment: BY MISTAKELY SETTELED) (Electron Pos) - 2024-05-10 15:25:10"
