Invoice_No_,Date,Change_Log
545,2024-04-11 14:57:10+00:00,"Order (Bill No.: F545, Amount: 3219) is created by sachindra (sachindra), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-04-11 14:57:10Order (Bill No.: F545) total amount changed from 3219 to 0 by sachindra (sachindra. ) (Order modify comment: MD) (Electron Pos) - 2024-04-11 15:54:26"
517,2024-04-10 21:44:55+00:00,"Order (Bill No.: F517, Amount: 1753) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-04-10 21:44:55Order (Bill No.: F517) total amount changed from 1753 to 1670 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-10 21:47:07"
495,2024-04-10 00:56:12+00:00,Order (Bill No.: F495) total amount changed from 13440 to 12800 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-04-10 00:59:51
455,2024-04-09 14:03:23+00:00,"Order (Bill No.: F455, Amount: 3109) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-09 14:03:23Order (Bill No.: F455) total amount changed from 3109 to 2961 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-09 14:06:09"
127,2024-04-08 23:56:38+00:00,Order (Bill No.: B127) total amount changed from 2282 to 2178 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-09 00:06:43
447,2024-04-08 23:56:37+00:00,"Order (Bill No.: F447, Amount: 2883) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-04-08 23:56:37Order (Bill No.: F447) total amount changed from 2883 to 2746 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-09 00:06:25"
417,2024-04-08 14:57:25+00:00,"Order (Bill No.: F417, Amount: 10854) is created by sachindra (sachindra), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-04-08 14:57:25Order (Bill No.: F417) total amount changed from 10854 to 10337 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-08 14:59:22"
369,2024-04-07 21:44:21+00:00,Order (Bill No.: F369) total amount changed from 0 to 204 by vijay (vijay shetty. ) (Order modify comment: vvskapu) (Electron Pos) - 2024-04-07 21:45:42
80,2024-04-06 23:37:57+00:00,Order (Bill No.: B80) total amount changed from 1372 to 1309 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-06 23:41:23
303,2024-04-06 23:37:56+00:00,"Order (Bill No.: F303, Amount: 3104) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-06 23:37:56Order (Bill No.: F303) total amount changed from 3104 to 2956 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-06 23:40:59"
297,2024-04-06 23:17:44+00:00,"Order (Bill No.: F297, Amount: 1345) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-06 23:17:44Order (Bill No.: F297) total amount changed from 1345 to 1281 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-06 23:19:48"
290,2024-04-06 22:57:24+00:00,"Order (Bill No.: F290, Amount: 5044) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-06 22:57:24Order (Bill No.: F290) total amount changed from 5044 to 4804 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-06 23:00:55"
247,2024-04-06 15:40:49+00:00,"Order (Bill No.: F247, Amount: 22157) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-06 15:40:49Order (Bill No.: F247) total amount changed from 22157 to 21102 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-04-06 15:42:32"
221,2024-04-05 23:22:03+00:00,"Order (Bill No.: F221, Amount: 562) is created by vijay (vijay shetty), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-04-05 23:22:03Order (Bill No.: F221) total amount changed from 562 to 402 by vijay (vijay shetty. ) (Order modify comment: ref sanjay sir) (Electron Pos) - 2024-04-05 23:27:47"
209,2024-04-05 22:22:36+00:00,"Order (Bill No.: F209, Amount: 14939) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-05 22:22:36Order (Bill No.: F209) total amount changed from 14939 to 14228 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-05 22:26:04"
203,2024-04-05 21:50:34+00:00,"Order (Bill No.: F203, Amount: 5689) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-05 21:50:34Order (Bill No.: F203) total amount changed from 5689 to 5418 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-05 21:53:50"
173,2024-04-05 12:54:21+00:00,"Order (Bill No.: F173, Amount: 1191) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-05 12:54:21Order (Bill No.: F173) total amount changed from 1191 to 1134 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-05 13:02:13"
123,2024-04-03 22:59:20+00:00,"Order (Bill No.: F123, Amount: 4961) is created by vijay (vijay shetty), but ownership transferred to UMESH BAR (UMESH BAR) (Electron Pos) - 2024-04-03 22:59:20Order (Bill No.: F123) total amount changed from 4961 to 3473 by vijay (vijay shetty. ) (Order modify comment: disc.) (Electron Pos) - 2024-04-03 23:02:08"
76,2024-04-02 23:15:28+00:00,"Order (Bill No.: F76, Amount: 2277) is created by sachindra (sachindra), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-04-02 23:15:28Order (Bill No.: F76) total amount changed from 2277 to 2168 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-04-02 23:18:32"
41,2024-04-02 13:43:49+00:00,"Order (Bill No.: F41, Amount: 877) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-02 13:43:49Order (Bill No.: F41) total amount changed from 877 to 835 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-02 13:44:20"
38,2024-04-02 00:50:12+00:00,"Order (Bill No.: F38, Amount: 1803) is created by vijay (vijay shetty), but ownership transferred to TAPASH CAP (TAPASH) (Electron Pos) - 2024-04-02 00:50:12Order (Bill No.: F38) total amount changed from 1803 to 1717 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-02 00:52:15"
5,2024-04-01 14:26:21+00:00,Order (Bill No.: F5) total amount changed from 204 to 0 by sachindra (sachindra. ) (Order modify comment: TRAIL) (Electron Pos) - 2024-04-01 14:29:33
